Part,Slot,X,Y,W,H,dummy
BodyFront,A,500,410,160,30,
BodyFront,B,450,490,100,100,
BodyFront,C,570,490,100,100,
BodyFront,D,510,620,160,60,
BodyFront,E,510,830,160,60,
BodyFront,F,450,700,100,120,
BodyFront,G,570,700,100,120,
BodyFront,H,120,180,100,240,
BodyFront,I,890,180,100,240,
BodyFront,J,160,430,100,200,
BodyFront,K,870,430,100,200,
BodyFront,L,150,730,80,160,
BodyFront,M,900,730,80,160,
BodyFront,P,130,930,60,140,
BodyFront,Q,900,930,60,140,
BodyBack,1,520,300,180,50,
BodyBack,2,550,210,80,120,
BodyBack,3,460,210,80,120,
BodyBack,4,550,90,80,80,
BodyBack,5,460,90,80,80,
BodyBack,6,760,780,100,130,
BodyBack,7,270,780,100,130,
BodyBack,8,980,220,100,150,
BodyBack,9,260,220,100,150,
BodyBack,10,960,410,80,170,
BodyBack,11,50,410,80,170,
BodyBack,12,960,730,50,160,
BodyBack,13,70,730,50,160,
BodyBack,14,970,900,70,160,
BodyBack,15,60,900,70,160,
