SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
1,百合愛撫,sex_x_yuri_aibu2.ks,FF,TRUE,1,16150,16150,16150,16150,16150,16150,16150,16150,16150,16150,16150,16150,16150,16150,16150,16150,76570,78570,,,88570,104870,,TRUE,TRUE,TRUE,1,0;1,,
2,百合バイブ,sex_x_yuri_vibe.ks,FF,TRUE,2,16160,16160,16160,16160,16160,16160,16160,16160,16160,16160,16160,16160,16160,16160,16160,16160,76580,78580,,,88580,104880,,TRUE,TRUE,TRUE,1,0;1,,
3,百合クンニ,sex_yuri_kunni2.ks,FF,TRUE,3,16180,16180,16180,16180,16180,16180,16180,16180,16180,16180,16180,16180,16180,16180,16180,16180,76590,78590,,,88590,104890,,TRUE,TRUE,TRUE,1,0;1,,
4,百合双頭バイブ,sex_yuri_soutouvibe2.ks,FF,TRUE,4,16190,16190,16190,16190,16190,16190,16190,16190,16190,16190,16190,16190,16190,16190,16190,16190,76600,78600,,,88600,104900,,TRUE,TRUE,TRUE,1,0;1,,
101,【二人きり】セックス正常位,sex_OM_seijyoui.ks,MF,TRUE,101,45030,45030,45030,45030,45030,45030,45030,30030,30030,30030,30030,30030,30030,45030,45030,30030,45030,45030,61030,61030,45030,45030,91030,FALSE,TRUE,TRUE,2,0,0,
102,【二人きり】アナルセックス正常位,sex_OM_seijyouiA.ks,MF,TRUE,102,45040,45040,45040,45040,45040,45040,45040,30040,30040,30040,30040,30040,30040,45040,45040,30040,45040,45040,61040,61040,45040,45040,91040,FALSE,TRUE,TRUE,2,0,0,
103,【二人きり】セックス後背位,sex_OM_kouhaii.ks,MF,TRUE,201,45050,45050,45050,45050,45050,45050,45050,30050,30050,30050,30050,30050,30050,45050,45050,30050,45050,45050,61050,61050,45050,45050,91050,FALSE,TRUE,TRUE,2,0,0,
104,【二人きり】アナルセックス後背位,sex_OM_kouhaiiA.ks,MF,TRUE,202,45060,45060,45060,45060,45060,45060,45060,30060,30060,30060,30060,30060,30060,45060,45060,30060,45060,45060,61060,61060,45060,45060,91060,FALSE,TRUE,TRUE,2,0,0,
105,【二人きり】セックス騎乗位A,sex_OM_taimenkijyoui.ks,MF,TRUE,301,45070,45070,45070,45070,45070,45070,45070,30070,30070,30070,30070,30070,30070,45070,45070,30070,45070,45070,61070,61070,45070,45070,91070,FALSE,TRUE,TRUE,2,0,0,
106,【二人きり】アナルセックス騎乗位A,sex_OM_taimenkijyouiA.ks,MF,TRUE,302,45080,45080,45080,45080,45080,45080,45080,30080,30080,30080,30080,30080,30080,45080,45080,30080,45080,45080,61080,61080,45080,45080,91080,FALSE,TRUE,TRUE,2,0,0,
107,【二人きり】だいしゅきホールドセックス正常位,sex_OM_seijyoui.ks,MF,TRUE,103,45090,45090,45090,45090,45090,45090,45090,30090,30090,30090,30090,30090,30090,45090,45090,30090,45090,45090,61090,61090,45090,45090,91090,FALSE,TRUE,TRUE,2,0,0,
108,【二人きり】だいしゅきホールドアナルセックス正常位,sex_OM_seijyouiA.ks,MF,TRUE,104,45100,45100,45100,45100,45100,45100,45100,30100,30100,30100,30100,30100,30100,45100,45100,30100,45100,45100,61100,61100,45100,45100,91100,FALSE,TRUE,TRUE,2,0,0,
109,【二人きり】抱きつきセックス後背位,sex_OM_kouhaii.ks,MF,TRUE,203,45110,45110,45110,45110,45110,45110,45110,30110,30110,30110,30110,30110,30110,45110,45110,30110,45110,45110,61110,61110,45110,45110,91110,FALSE,TRUE,TRUE,2,0,0,
110,【二人きり】抱きつきアナルセックス後背位,sex_OM_kouhaiiA.ks,MF,TRUE,204,45120,45120,45120,45120,45120,45120,45120,30120,30120,30120,30120,30120,30120,45120,45120,30120,45120,45120,61120,61120,45120,45120,91120,FALSE,TRUE,TRUE,2,0,0,
111,【二人きり】グラインドセックス騎乗位,sex_OM_taimenkijyoui.ks,MF,TRUE,303,45130,45130,45130,45130,45130,45130,45130,30130,30130,30130,30130,30130,30130,45130,45130,30130,45130,45130,61130,61130,45130,45130,91130,FALSE,TRUE,TRUE,2,0,0,
112,【二人きり】グラインドアナルセックス騎乗位,sex_OM_taimenkijyouiA.ks,MF,TRUE,304,45140,45140,45140,45140,45140,45140,45140,30140,30140,30140,30140,30140,30140,45140,45140,30140,45140,45140,61140,61140,45140,45140,91140,FALSE,TRUE,TRUE,2,0,0,
113,【二人きり】抱え込み正常位,sex_OM_kakae_seijyoui.ks,MF,TRUE,105,45430,45430,45430,45430,45430,45430,45430,30430,30430,30430,30430,30430,30430,45430,45430,30430,45430,45430,61430,61430,45430,45430,91430,FALSE,TRUE,TRUE,2,0,0,
114,【二人きり】抱え込みアナル正常位,sex_OM_kakae_seijyouiA.ks,MF,TRUE,106,45440,45440,45440,45440,45440,45440,45440,30440,30440,30440,30440,30440,30440,45440,45440,30440,45440,45440,61440,61440,45440,45440,91440,FALSE,TRUE,TRUE,2,0,0,
115,【二人きり】セックス寄り添い側位,sex_OM_yorisoi_sokui.ks,MF,TRUE,401,45490,45490,45490,45490,45490,45490,45490,30490,30490,30490,30490,30490,30490,45490,45490,30490,45490,45490,61490,61490,45490,45490,91490,FALSE,TRUE,TRUE,2,0,0,
116,【二人きり】アナルセックス寄り添い側位,sex_OM_yorisoi_sokuiA.ks,MF,TRUE,402,45500,45500,45500,45500,45500,45500,45500,30500,30500,30500,30500,30500,30500,45500,45500,30500,45500,45500,61500,61500,45500,45500,91500,FALSE,TRUE,TRUE,2,0,0,
