SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
1,【輪姦】乱交3Pセックス正常位,sex_ran3p_seijyoui_kuti.ks,MMF,TRUE,1,57000,57000,57000,57000,57000,57000,57000,42000,42000,42000,42000,42000,42000,57000,57000,42000,57000,57000,73000,73000,57000,57000,103000,FALSE,TRUE,TRUE,1,0,0;1,
2,【輪姦】乱交3Pベッド後背位,sex_ran3p_bed_kouhaii.ks,MMF,TRUE,2,57020,57020,57020,57020,57020,57020,57020,42020,42020,42020,42020,42020,42020,57020,57020,42020,57020,57020,73020,73020,57020,57020,103020,FALSE,TRUE,TRUE,1,0,0;1,
3,【輪姦】乱交3P2穴抱え正常位,sex_ran3p_2ana_kakae_sex.ks,MMF,TRUE,3,58000,58000,58000,58000,58000,58000,58000,43000,43000,43000,43000,43000,43000,58000,58000,43000,58000,58000,74000,74000,58000,58000,104000,FALSE,TRUE,TRUE,1,0,0;1,
4,【輪姦】乱交3P2穴セックス,sex_ran3p_2ana.ks,MMF,TRUE,4,58010,58010,58010,58010,58010,58010,58010,43010,43010,43010,43010,43010,43010,58010,58010,43010,58010,58010,74010,74010,58010,58010,104010,FALSE,TRUE,TRUE,1,0,0;1,
5,【輪姦】乱交3P腕持ち2穴セックス,sex_ran3p_ude_2ana.ks,MMF,TRUE,5,58020,58020,58020,58020,58020,58020,58020,43020,43020,43020,43020,43020,43020,58020,58020,43020,58020,58020,74020,74020,58020,58020,104020,FALSE,TRUE,TRUE,1,0,0;1,
6,乱交3P開脚セックス,sex_ran3p_kaikyaku_sex.ks,MMF,TRUE,6,24740,24740,24740,24770,87410,,,24710,24710,24710,87410,24770,24770,87410,87410,87410,87410,87410,,,,,,FALSE,TRUE,TRUE,1,0,0;1,
7,乱交3Pセックス背面座位&フェラ,sex_ran3p_haimenzai_fera.ks,MMF,TRUE,7,,,,,,,,43400,43400,43400,43440,43440,43440,,43440,43440,,,,,,,,FALSE,TRUE,TRUE,1,0,0;1,
8,乱交3Pセックス騎乗位&愛撫,sex_ran3p_kijyoui_aibu.ks,MMF,TRUE,8,,,,,,,,43420,43420,43420,43460,43460,43460,,43460,43460,,,,,,,,FALSE,TRUE,TRUE,1,0,0;1,
9,乱交3P腕持ち後背位,sex_ran3p_udemoti_kouhaii_fera.ks,MMF,TRUE,9,85300,85300,85300,85300,85300,85300,85300,84200,84200,84200,84260,85300,84260,84260,84260,84260,84260,84260,,,85300,85300,,FALSE,TRUE,TRUE,1,0,0;1,
10,乱交3P両穴駅弁,sex_ran3p_ekiben.ks,MMF,TRUE,10,85320,85320,85320,85320,85320,85320,85320,84220,84220,84220,84280,85320,84280,84280,84280,84280,84280,84280,,,85320,85320,,FALSE,TRUE,TRUE,1,0,0;1,
11,快楽堕ち3P騎乗位,sex_ran3p_kijyoui_kuti_c001.ks,MMF,TRUE,11,75450,75450,75450,59850,75450,75450,59850,59850,59850,59850,59850,59850,59850,75450,59850,59850,75450,75450,,,75450,75450,,FALSE,TRUE,TRUE,1,0,0;1,
12,快楽堕ち3P開脚騎乗位,sex_ran3p_kaikyaku_sex.ks,MMF,TRUE,12,75470,75470,75470,59870,75470,75470,59870,59870,59870,59870,59870,59870,59870,75470,59870,59870,75470,75470,,,75470,75470,,FALSE,TRUE,TRUE,1,0,0;1,
13,【ドスケベビッチ】乱交3P2穴駅弁,sex_ran3p_ekiben_c002.ks,MMF,TRUE,13,,,,,,,,,,,,,,,,,,,106240,106240,,,106240,FALSE,TRUE,TRUE,1,0,0;1,
