SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,TallyCountMaid1,TallyCountMaid2,dummy
1,*挿入,Insert,,,,,,,InsertMouth,,,,,,,
1,*待機,Waiting,,,,,,,Waiting,,,,,,,
1,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
1,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
2,*挿入,Insert,,,,,,,Insert,,,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,,,
2,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
2,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
3,*挿入,Insert,,,,,,,Insert,,,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,,,
3,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
3,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
4,*挿入,Insert,,,,,,,Insert,,,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,,,
4,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
4,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
5,*挿入,Insert,,,,,,,InsertMouth,,,,,,,
5,*待機,Waiting,,,,,,,Waiting,,,,,,,
5,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
5,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
6,*挿入,Insert,,,,,,,Insert,,,,,,,
6,*待機,Waiting,,,,,,,Waiting,,,,,,,
6,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
6,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
7,*挿入,Insert,,,,,,,Insert,,,,,,,
7,*待機,Waiting,,,,,,,Waiting,,,,,,,
7,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
7,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
8,*挿入,Insert,,,,,,,Insert,,,,,,,
8,*待機,Waiting,,,,,,,Waiting,,,,,,,
8,*初々しい射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
8,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
9,*挿入,Insert,,,,,,,Insert,,,,,,,
9,*待機,Waiting,,,,,,,Waiting,,,,,,,
9,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
9,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
10,*挿入,Insert,,,,,,,Insert,,,,,,,
10,*待機,Waiting,,,,,,,Waiting,,,,,,,
10,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
10,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
11,*挿入,Insert,,,,,,,Insert,,,,,,,
11,*待機,Waiting,,,,,,,Waiting,,,,,,,
11,*射精外,Orgasm,Breast,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
11,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
12,*挿入,Insert,,,,,,,Insert,,,,,,,
12,*待機,Waiting,,,,,,,Waiting,,,,,,,
12,*射精外,Orgasm,Breast,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
12,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
13,*挿入,Insert,,,,,,,Insert,,,,,,,
13,*待機,Waiting,,,,,,,Waiting,,,,,,,
13,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
13,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
14,*挿入,Insert,,,,,,,Insert,,,,,,,
14,*待機,Waiting,,,,,,,Waiting,,,,,,,
14,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
14,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
15,*挿入,Insert,,,,,,,Insert,,,,,,,
15,*待機,Waiting,,,,,,,Waiting,,,,,,,
15,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
15,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
16,*挿入,Insert,,,,,,,Insert,,,,,,,
16,*待機,Waiting,,,,,,,Waiting,,,,,,,
16,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
16,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
17,*挿入,Insert,,,,,,,Insert,,,,,,,
17,*待機,Waiting,,,,,,,Waiting,,,,,,,
17,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
17,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
18,*挿入,Insert,,,,,,,Insert,,,,,,,
18,*待機,Waiting,,,,,,,Waiting,,,,,,,
18,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
18,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
19,*挿入,Insert,,,,,,,Insert,,,,,,,
19,*待機,Waiting,,,,,,,Waiting,,,,,,,
19,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
19,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
20,*挿入,Insert,,,,,,,Insert,,,,,,,
20,*待機,Waiting,,,,,,,Waiting,,,,,,,
20,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
20,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
21,*挿入,Insert,,,,,,,Insert,,,,,,,
21,*待機,Waiting,,,,,,,Waiting,,,,,,,
21,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
21,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
22,*挿入,Insert,,,,,,,Insert,,,,,,,
22,*待機,Waiting,,,,,,,Waiting,,,,,,,
22,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
22,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
23,*挿入,Insert,,,,,,,Insert,,,,,,,
23,*待機,Waiting,,,,,,,Waiting,,,,,,,
23,*射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
23,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
24,*挿入,Insert,,,,,,,Insert,,,,,,,
24,*待機,Waiting,,,,,,,Waiting,,,,,,,
24,*射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
24,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
100,*挿入,Insert,,,,,,,Insert,,,,,,,
100,*待機,Waiting,,,,,,,Waiting,,,,,,,
100,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
101,*待機,Waiting,,,,,,,Waiting,,,,,,,
102,*待機,Waiting,,,,,,,Waiting,,,,,,,
103,*待機,Waiting,,,,,,,Waiting,,,,,,,
104,*待機,Waiting,,,,,,,Waiting,,,,,,,
