SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,dummy
1,*待機,Waiting,,,,,,,Waiting,,,,,
1,*顔射,Orgasm,Face,Face,Breast,Maid1,Maid1,Maid1,3PFellatioFace,,OrgasmWaitExcite,,Face,
1,*口内射精,Orgasm,Mouth,Face,Breast,Maid1,Maid1,Maid1,3PFellatio,,OrgasmWaitExcite,,Mouth,
1,*ぶっかけ２,Orgasm,Mouth,Face,Breast,Maid1,Maid1,Maid1,3PFellatioFace,,OrgasmWaitExcite,,Bukkake,
1,*ぶっかけ,Orgasm,Mouth,Face,Breast,Maid1,Maid1,Maid1,3PFellatioFace,,OrgasmWaitExcite,,Bukkake2,
2,*挿入,Insert,,,,,,,Insert,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,
2,*射精外,Orgasm,Ass,Belly,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,External,
2,*射精中,Orgasm,Vagina,Vagina,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,Internal,
3,*挿入,Insert,,,,,,,Insert,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,
3,*初々しい射精外,Orgasm,Belly,Back,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,External,
3,*初々しい射精中,Orgasm,Vagina,Vagina,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,Internal,
4,*挿入,Insert,,,,,,,Insert,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,
4,*初々しい射精外,Orgasm,Belly,Back,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,External,
4,*初々しい射精中,Orgasm,Vagina,Vagina,,Maid1,Maid1,,DoublePenetration,,OrgasmWaitExcite,,Internal,
5,*挿入,Insert,,,,,,,,,,,,
5,*待機,Waiting,,,,,,,WaitingBitch,,,,,
5,*顔射,Orgasm,Face,Face,Breast,Maid1,Maid1,Maid1,4PFellatioFaceBitch,,OrgasmWaitPistonBitch,,Face,
5,*口内射精,Orgasm,Mouth,Face,Breast,Maid1,Maid1,Maid1,4PFellatioMouthBitch,,OrgasmWaitPistonBitch,,Mouth,
