SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,dummy
1,*待機,Waiting,,,,,,,Waiting,,,,,
1,*射精外,Orgasm,Face,,,Maid1,,,Houshi,,OrgasmWaitHoushi,,,
2,*挿入,Insert,,,,,,,Insert,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,
2,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
2,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
2,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
2,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
3,*挿入,Insert,,,,,,,Insert,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,
3,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
3,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
3,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
3,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
4,*挿入,Insert,,,,,,,Insert,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,
4,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
4,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
4,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
4,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
5,*挿入,Insert,,,,,,,Insert,,,,,
5,*待機,Waiting,,,,,,,Waiting,,,,,
5,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
5,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
5,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
5,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
6,*挿入,Insert,,,,,,,Insert,,,,,
6,*待機,Waiting,,,,,,,Waiting,,,,,
6,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
6,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
6,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
6,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
7,*挿入,Insert,,,,,,,Insert,,,,,
7,*待機,Waiting,,,,,,,Waiting,,,,,
7,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
7,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
7,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
7,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
101,*挿入,Insert,,,,,,,Insert,,,,,
101,*待機,Waiting,,,,,,,Waiting,,,,,
101,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
101,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
101,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
101,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
102,*挿入,Insert,,,,,,,Insert,,,,,
102,*待機,Waiting,,,,,,,Waiting,,,,,
102,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
102,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
102,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
103,*挿入,Insert,,,,,,,Insert,,,,,
103,*待機,Waiting,,,,,,,Waiting,,,,,
103,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
103,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
104,*挿入,Insert,,,,,,,Insert,,,,,
104,*挿入待機,Waiting,,,,,,,Waiting,,,,,
104,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
104,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
104,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
104,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
105,*挿入,Insert,,,,,,,Insert,,,,,
105,*挿入待機,Waiting,,,,,,,Waiting,,,,,
105,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
105,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
105,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
105,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
