SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,TallyCountMaid1,TallyCountMaid2,dummy
1,*挿入,Insert,,,,,,,Insert,,,,,,,
1,*待機,Waiting,,,,,,,Waiting,,,,,,,
1,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
1,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
1,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
2,*挿入,Insert,,,,,,,Insert,,,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,,,
2,*初々しい射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
2,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
2,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
3,*挿入,Insert,,,,,,,Insert,,,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,,,
3,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
3,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
4,*挿入,Insert,,,,,,,Insert,,,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,,,
4,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
4,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
4,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
4,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
5,*挿入,Insert,,,,,,,Insert,,,,,,,
5,*待機,Waiting,,,,,,,Waiting,,,,,,,
5,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
5,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
5,*射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
5,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
6,*挿入,Insert,,,,,,,Insert,,,,,,,
6,*待機,Waiting,,,,,,,Waiting,,,,,,,
6,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
6,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
6,*射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
6,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Back,,
7,*挿入,Insert,,,,,,,Insert,,,,,,,
7,*待機,Waiting,,,,,,,Waiting,,,,,,,
7,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
7,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
7,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
7,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,Front,,
