SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,dummy
1,*待機,Waiting,,,,,,,Waiting,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,
5,*待機,Waiting,,,,,,,Waiting,,,,,
6,*待機,Waiting,,,,,,,Waiting,,,,,
7,*待機,Waiting,,,,,,,Waiting,,,,,
8,*待機,Waiting,,,,,,,Waiting,,,,,
9,*待機,Waiting,,,,,,,Waiting,,,,,
10,*待機,Waiting,,,,,,,Waiting,,,,,
11,*待機,Waiting,,,,,,,Waiting,,,,,
12,*待機,Waiting,,,,,,,Waiting,,,,,
13,*待機,Waiting,,,,,,,Waiting,,,,,
14,*待機,Waiting,,,,,,,Waiting,,,,,
15,*待機,Waiting,,,,,,,Waiting,,,,,
16,*待機,Waiting,,,,,,,Waiting,,,,,
