SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,dummy
1,*挿入,Insert,,,,,,,InsertMouth,,,,,
1,*待機,Waiting,,,,,,,Waiting,,,,,
1,*初々しい射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
1,*初々しい射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
2,*挿入,Insert,,,,,,,Insert,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,
2,*初々しい射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
2,*初々しい射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
3,*挿入,Insert,,,,,,,Insert,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,
3,*初々しい射精外,Orgasm,Belly,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
3,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
4,*挿入,Insert,,,,,,,Insert,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,
4,*初々しい射精外,Orgasm,Back,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
4,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
5,*挿入,Insert,,,,,,,InsertMouth,,,,,
5,*待機,Waiting,,,,,,,Waiting,,,,,
5,*初々しい射精外,Orgasm,Ass,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
5,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
6,*挿入,Insert,,,,,,,Insert,,,,,
6,*待機,Waiting,,,,,,,Waiting,,,,,
6,*射精外,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
6,*射精中,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
6,*初々しい射精外,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
6,*初々しい射精中,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
7,*挿入,Insert,,,,,,,Insert,,,,,
7,*待機,Waiting,,,,,,,Waiting,,,,,
7,*射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
7,*射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
7,*初々しい射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
7,*初々しい射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
8,*挿入,Insert,,,,,,,Insert,,,,,
8,*待機,Waiting,,,,,,,Waiting,,,,,
8,*射精外,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
8,*射精中,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
8,*初々しい射精外,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
8,*初々しい射精中,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
9,*挿入,Insert,,,,,,,Insert,,,,,
9,*待機,Waiting,,,,,,,Waiting,,,,,
9,*射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
9,*射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
9,*初々しい射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
9,*初々しい射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
10,*挿入,Insert,,,,,,,Insert,,,,,
10,*待機,Waiting,,,,,,,Waiting,,,,,
10,*射精外,Orgasm,Belly,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
10,*射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
10,*初々しい射精外,Orgasm,Belly,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
10,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,DoublePenetration,,OrgasmWaitExcite,,,
11,*挿入,Insert,,,,,,,Insert,,,,,
11,*待機,Waiting,,,,,,,Waiting,,,,,
11,*射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
11,*射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
11,*初々しい射精外,Orgasm,Face,,,Maid1,,,3PFellatioFace,,OrgasmWaitExcite,,,
11,*初々しい射精中,Orgasm,Mouth,,,Maid1,,,3PFellatio,,OrgasmWaitExcite,,,
12,*挿入,Insert,,,,,,,Insert,,,,,
12,*待機,Waiting,,,,,,,Waiting,,,,,
12,*射精外,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
12,*射精中,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
12,*初々しい射精外,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
12,*初々しい射精中,Orgasm,,,,,,,Piston,,OrgasmWaitExcite,,,
13,*挿入,Insert,,,,,,,Insert,,,,,
13,*待機,Waiting,,,,,,,Waiting,,,,,
13,*射精外,Orgasm,Belly,,,Maid1,,,PistonBitch,,OrgasmWaitPistonBitch,,,
13,*射精中,Orgasm,Vagina,,,Maid1,,,PistonBitch,,OrgasmWaitPistonBitch,,,
13,*初々しい射精外,Orgasm,Belly,,,Maid1,,,PistonBitch,,OrgasmWaitPistonBitch,,,
13,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,PistonBitch,,OrgasmWaitPistonBitch,,,
