SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,OrgasmType,dummy
1,*待機,Waiting,,,,,,,Waiting,,,,,
1,*初々しい秘部弄り絶頂,Orgasm,None,,,,,,Aibu,,OrgasmWait,,,
2,*挿入,Insert,,,,,,,Insert,,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,,
2,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
2,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
3,*挿入,Insert,,,,,,,Insert,,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,,
3,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
3,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
4,*挿入,Insert,,,,,,,Insert,,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,,
4,*初々しい射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
4,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
5,*挿入,Insert,,,,,,,Insert,,,,,
5,*待機,Waiting,,,,,,,Waiting,,,,,
5,*初々しい射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
5,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
6,*挿入,Insert,,,,,,,Insert,,,,,
6,*待機,Waiting,,,,,,,Waiting,,,,,
6,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
6,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
7,*挿入,Insert,,,,,,,Insert,,,,,
7,*待機,Waiting,,,,,,,Waiting,,,,,
7,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
7,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
8,*挿入,Insert,,,,,,,Insert,,,,,
8,*待機,Waiting,,,,,,,Waiting,,,,,
8,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
8,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
9,*挿入,Insert,,,,,,,Insert,,,,,
9,*待機,Waiting,,,,,,,Waiting,,,,,
9,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
9,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
10,*挿入,Insert,,,,,,,Insert,,,,,
10,*待機,Waiting,,,,,,,Waiting,,,,,
10,*初々しい射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
10,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
11,*挿入,Insert,,,,,,,Insert,,,,,
11,*待機,Waiting,,,,,,,Waiting,,,,,
11,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
11,*抱き付き射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
12,*挿入,Insert,,,,,,,Insert,,,,,
12,*待機,Waiting,,,,,,,Waiting,,,,,
12,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
12,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
13,*挿入,Insert,,,,,,,Insert,,,,,
13,*待機,Waiting,,,,,,,Waiting,,,,,
13,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
13,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
14,*挿入,Insert,,,,,,,Insert,,,,,
14,*待機,Waiting,,,,,,,Waiting,,,,,
14,*初々しい射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
14,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
15,*挿入,Insert,,,,,,,Insert,,,,,
15,*待機,Waiting,,,,,,,Waiting,,,,,
15,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
15,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
16,*挿入,Insert,,,,,,,Insert,,,,,
16,*待機,Waiting,,,,,,,Waiting,,,,,
16,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
16,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
17,*挿入,Insert,,,,,,,Insert,,,,,
17,*待機,Waiting,,,,,,,Waiting,,,,,
17,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
17,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
18,*挿入,Insert,,,,,,,Insert,,,,,
18,*待機,Waiting,,,,,,,Waiting,,,,,
18,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
18,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
19,*挿入,Insert,,,,,,,Insert,,,,,
19,*待機,Waiting,,,,,,,Waiting,,,,,
19,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
19,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
20,*挿入,Insert,,,,,,,Insert,,,,,
20,*待機,Waiting,,,,,,,Waiting,,,,,
20,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
20,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
21,*挿入,Insert,,,,,,,Insert,,,,,
21,*待機,Waiting,,,,,,,Waiting,,,,,
21,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
21,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
22,*挿入,Insert,,,,,,,Insert,,,,,
22,*待機,Waiting,,,,,,,Waiting,,,,,
22,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
22,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
23,*挿入,Insert,,,,,,,Insert,,,,,
23,*待機,Waiting,,,,,,,Waiting,,,,,
23,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
23,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
24,*挿入,Insert,,,,,,,Insert,,,,,
24,*待機,Waiting,,,,,,,Waiting,,,,,
24,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
24,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
25,*挿入,Insert,,,,,,,Insert,,,,,
25,*待機,Waiting,,,,,,,Waiting,,,,,
25,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
25,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
26,*挿入,Insert,,,,,,,Insert,,,,,
26,*待機,Waiting,,,,,,,Waiting,,,,,
26,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
26,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
27,*挿入,Insert,,,,,,,Insert,,,,,
27,*待機,Waiting,,,,,,,Waiting,,,,,
27,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
27,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
28,*挿入,Insert,,,,,,,Insert,,,,,
28,*待機,Waiting,,,,,,,Waiting,,,,,
28,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
28,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
29,*挿入,Insert,,,,,,,Insert,,,,,
29,*待機,Waiting,,,,,,,Waiting,,,,,
29,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
29,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
30,*挿入待機,Insert,,,,,,,Insert,,,,,
30,*待機,Waiting,,,,,,,Waiting,,,,,
30,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
30,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
31,*挿入待機,Insert,,,,,,,Insert,,,,,
31,*待機,Waiting,,,,,,,Waiting,,,,,
31,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
31,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
32,*挿入,Insert,,,,,,,Insert,,,,,
32,*待機,Waiting,,,,,,,Waiting,,,,,
32,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
32,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
33,*挿入,Insert,,,,,,,Insert,,,,,
33,*待機,Waiting,,,,,,,Waiting,,,,,
33,*射精外,Orgasm,Ass,,,Maid1,,,Piston,,OrgasmWait,,,
33,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
34,*挿入,Insert,,,,,,,Insert,,,,,
34,*待機,Waiting,,,,,,,Waiting,,OrgasmWait,,,
34,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
34,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,,,,
35,*挿入,Insert,,,,,,,Insert,,,,,
35,*待機,Waiting,,,,,,,Waiting,,,,,
35,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
35,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
36,*挿入,Insert,,,,,,,Insert,,,,,
36,*待機,Waiting,,,,,,,Waiting,,,,,
36,*射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
36,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
37,*挿入,Insert,,,,,,,Insert,,,,,
37,*待機,Waiting,,,,,,,Waiting,,,,,
37,*射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
37,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
38,*挿入,Insert,,,,,,,Insert,,,,,
38,*待機,Waiting,,,,,,,Waiting,,,,,
38,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
38,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
39,*挿入,Insert,,,,,,,Insert,,,,,
39,*待機,Waiting,,,,,,,Waiting,,,,,
39,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
39,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
40,*挿入,Insert,,,,,,,Insert,,,,,
40,*待機,Waiting,,,,,,,Waiting,,,,,
40,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
40,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
41,*挿入,Insert,,,,,,,Insert,,,,,
41,*待機,Waiting,,,,,,,Waiting,,,,,
41,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
41,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
42,*挿入,Insert,,,,,,,Insert,,,,,
42,*待機,Waiting,,,,,,,Waiting,,,,,
42,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
42,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
43,*挿入,Insert,,,,,,,Insert,,,,,
43,*待機,Waiting,,,,,,,Waiting,,,,,
43,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
43,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
44,*挿入,Insert,,,,,,,Insert,,,,,
44,*待機,Waiting,,,,,,,Waiting,,,,,
44,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
44,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
45,*挿入,Insert,,,,,,,Insert,,,,,
45,*待機,Waiting,,,,,,,Waiting,,,,,
45,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
45,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
46,*待機,Waiting,,,,,,,Waiting,,,,,
46,*初々しい絶頂,Orgasm,None,,,,,,Aibu,,OrgasmWait,,,
47,*挿入,Insert,,,,,,,Insert,,,,,
47,*待機,Waiting,,,,,,,Waiting,,,,,
47,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
47,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
48,*挿入,Insert,,,,,,,Insert,,,,,
48,*待機,Waiting,,,,,,,Waiting,,,,,
48,*初々しい射精外,Orgasm,Back,,,Maid1,,,Piston,,OrgasmWait,,,
48,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
51,*挿入待機,Insert,,,,,,,Insert,,,,,
51,*待機,Waiting,,,,,,,Waiting,,,,,
51,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
51,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
52,*挿入待機,Insert,,,,,,,Insert,,,,,
52,*待機,Waiting,,,,,,,Waiting,,,,,
52,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
52,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWaitExcite,,,
53,*挿入待機,Insert,,,,,,,Insert,,,,,
53,*待機,Waiting,,,,,,,Waiting,,,,,
53,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
53,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
54,*挿入待機,Insert,,,,,,,Insert,,,,,
54,*待機,Waiting,,,,,,,Waiting,,,,,
54,*射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
54,*射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
55,*待機,Waiting,,,,,,,Waiting,,,,,
55,*初々しい顔射,Orgasm,Face,,,Maid1,,,FellatioFace,,OrgasmWaitHoushi,,,
55,*初々しい口内射精,Orgasm,Mouth,,,Maid1,,,Fellatio,,OrgasmWaitHoushi,,,
56,*挿入,Insert,,,,,,,InsertMouth,,,,,
56,*待機,Waiting,,,,,,,Waiting,,,,,
56,*初々しい顔射,Orgasm,Face,,,Maid1,,,FellatioFace,,OrgasmWaitHoushi,,,
56,*初々しい口内射精,Orgasm,Mouth,,,Maid1,,,Fellatio,,OrgasmWaitHoushi,,,
57,*挿入,Insert,,,,,,,InsertMouth,,,,,
57,*待機,Waiting,,,,,,,Waiting,,,,,
57,*初々しい顔射,Orgasm,Face,,,Maid1,,,FellatioFace,,OrgasmWaitHoushi,,,
57,*初々しい口内射精,Orgasm,Mouth,,,Maid1,,,Fellatio,,OrgasmWaitHoushi,,,
58,*挿入,Insert,,,,,,,Insert,,,,,
58,*待機,Waiting,,,,,,,Waiting,,,,,
58,*初々しい射精外,Orgasm,Belly,,,Maid1,,,Piston,,OrgasmWait,,,
58,*初々しい射精中,Orgasm,Vagina,,,Maid1,,,Piston,,OrgasmWait,,,
59,*挿入,Insert,,,,,,,Insert,,,,,
59,*待機,Waiting,,,,,,,Waiting,,,,,
