SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID
1,0,*激しさ１,Fellatio,,1
1,1,*激しさ１,Fellatio,,1
1,2,*激しさ２,Fellatio,,1
1,3,*激しさ３,Fellatio,,1
1,0,*玉弄り,LickJob,,2
1,1,*玉弄り,LickJob,,2
1,2,*玉弄り,LickJob,,2
1,3,*玉弄り,LickJob,,2
1,0,*イラマチオ,Fellatio,,3
1,1,*イラマチオ,Fellatio,,3
1,2,*イラマチオ,Fellatio,,3
1,3,*イラマチオ,Fellatio,,3
2,0,*激しさ１,Piston,,4
2,1,*激しさ１,Piston,,4
2,2,*激しさ２,Piston,,4
2,3,*激しさ３,Piston,,4
2,0,*激しさ１胸揉み,Piston,,5
2,1,*激しさ１胸揉み,Piston,,5
2,2,*激しさ２胸揉み,Piston,,5
2,3,*激しさ３胸揉み,Piston,,5
3,0,*激しさ１,Piston,,6
3,1,*激しさ１,Piston,,6
3,2,*激しさ２,Piston,,6
3,3,*激しさ３,Piston,,6
3,0,*激しさ１胸揉み,Piston,,7
3,1,*激しさ１胸揉み,Piston,,7
3,2,*激しさ２胸揉み,Piston,,7
3,3,*激しさ３胸揉み,Piston,,7
3,0,*激しさ１キス,Kiss,,8
3,1,*激しさ１キス,Kiss,,8
3,2,*激しさ１キス,Kiss,,8
3,3,*激しさ１キス,Kiss,,8
3,0,*交互に責める,PistonExcite,,35
3,1,*交互に責める,PistonExcite,,35
3,2,*交互に責める,PistonExcite,,35
3,3,*交互に責める,PistonExcite,,35
4,0,*激しさ１,Piston,,9
4,1,*激しさ１,Piston,,9
4,2,*激しさ２,Piston,,9
4,3,*激しさ３,Piston,,9
4,0,*激しさ１胸揉み,Piston,,10
4,1,*激しさ１胸揉み,Piston,,10
4,2,*激しさ２胸揉み,Piston,,10
4,3,*激しさ３胸揉み,Piston,,10
4,0,*激しさ１キス,Kiss,,11
4,1,*激しさ１キス,Kiss,,11
4,2,*激しさ１キス,Kiss,,11
4,3,*激しさ１キス,Kiss,,11
5,0,*激しさ１,FellatioBitch,,12
5,1,*激しさ１,FellatioBitch,,12
5,2,*激しさ２,FellatioBitch,,12
5,3,*激しさ３,FellatioBitch,,12
5,0,*イラマチオ,FellatioBitch,,13
5,1,*イラマチオ,FellatioBitch,,13
5,2,*イラマチオ,FellatioBitch,,13
5,3,*イラマチオ,FellatioBitch,,13
5,0,*玉弄り,LickJobBitch,,14
5,1,*玉弄り,LickJobBitch,,14
5,2,*玉弄り,LickJobBitch,,14
5,3,*玉弄り,LickJobBitch,,14
6,0,*激しさ１,PistonBitch,,15
6,1,*激しさ１,PistonBitch,,15
6,2,*激しさ２,PistonBitch,,15
6,3,*激しさ３,PistonBitch,,15
6,0,*激しさ１キス,KissBitch,,16
6,1,*激しさ１キス,KissBitch,,16
6,2,*激しさ２キス,KissBitch,,16
6,3,*激しさ３キス,KissBitch,,16
6,0,*激しさ１胸揉み,PistonBitch,,17
6,1,*激しさ１胸揉み,PistonBitch,,17
6,2,*激しさ２胸揉み,PistonBitch,,17
6,3,*激しさ３胸揉み,PistonBitch,,17
7,0,*激しさ１,PistonBitch,,18
7,1,*激しさ１,PistonBitch,,18
7,2,*激しさ２,PistonBitch,,18
7,3,*激しさ３,PistonBitch,,18
7,0,*クンニ,PistonBitch,,19
7,1,*クンニ,PistonBitch,,19
7,2,*クンニ,PistonBitch,,19
7,3,*クンニ,PistonBitch,,19
7,0,*激しさ１胸揉み,PistonBitch,,20
7,1,*激しさ１胸揉み,PistonBitch,,20
7,2,*激しさ２胸揉み,PistonBitch,,20
7,3,*激しさ３胸揉み,PistonBitch,,20
7,0,*激しさ１キス,KissBitch,,21
7,1,*激しさ１キス,KissBitch,,21
7,2,*激しさ２キス,KissBitch,,21
7,3,*激しさ３キス,KissBitch,,21
8,0,*激しさ１,PistonBitch,,22
8,1,*激しさ１,PistonBitch,,22
8,2,*激しさ２,PistonBitch,,22
8,3,*激しさ３,PistonBitch,,22
8,0,*クンニ,PistonBitch,,23
8,1,*クンニ,PistonBitch,,23
8,2,*クンニ,PistonBitch,,23
8,3,*クンニ,PistonBitch,,23
8,0,*激しさ１胸揉み,PistonBitch,,24
8,1,*激しさ１胸揉み,PistonBitch,,24
8,2,*激しさ２胸揉み,PistonBitch,,24
8,3,*激しさ３胸揉み,PistonBitch,,24
8,0,*激しさ１キス,KissBitch,,25
8,1,*激しさ１キス,KissBitch,,25
8,2,*激しさ２キス,KissBitch,,25
8,3,*激しさ３キス,KissBitch,,25
9,0,*激しさ１,Houshi,,26
9,1,*激しさ１,Houshi,,26
9,2,*激しさ２,FellatioExcite,,26
9,3,*激しさ３,FellatioExcite,,26
9,0,*男２激しさ１,Houshi,,27
9,1,*男２激しさ１,Houshi,,27
9,2,*男２激しさ２,FellatioExcite,,27
9,3,*男２激しさ３,FellatioExcite,,27
10,0,*激しさ１,PistonExcite,,28
10,1,*激しさ１,PistonExcite,,28
10,2,*激しさ２,PistonExcite,,28
10,3,*激しさ３,PistonExcite,,28
11,0,*激しさ１,Fellatio,,29
11,1,*激しさ１,Fellatio,,29
11,2,*激しさ２,Fellatio,,29
11,3,*激しさ３,Fellatio,,29
11,0,*喉奥を責める,Fellatio,,30
11,1,*喉奥を責める,Fellatio,,30
11,2,*喉奥を責める,Fellatio,,30
11,3,*喉奥を責める,Fellatio,,30
11,0,*グラインド,SMSubmission,,31
11,1,*グラインド,SMSubmission,,31
11,2,*グラインド,SMSubmission,,31
11,3,*グラインド,SMSubmission,,31
12,0,*激しさ１,PistonExcite,,32
12,1,*激しさ１,PistonExcite,,32
12,2,*激しさ２,PistonExcite,,32
12,3,*激しさ３,PistonExcite,,32
12,0,*激しさ１キス,Kiss,,33
12,1,*激しさ１キス,Kiss,,33
12,2,*激しさ２キス,Kiss,,33
12,3,*激しさ３キス,Kiss,,33
12,0,*激しさ１胸揉み,Piston,,34
12,1,*激しさ１胸揉み,Piston,,34
12,2,*激しさ１胸揉み,Piston,,34
12,3,*激しさ１胸揉み,Piston,,34
