SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID
1,0,*激しさ１,Houshi,,1
1,1,*激しさ１,Houshi,,1
1,2,*激しさ２,Houshi,,1
1,3,*激しさ３,Houshi,,1
1,0,*激しさ１キス,Kiss,,2
1,1,*激しさ１キス,Kiss,,2
1,2,*激しさ２キス,Kiss,,2
1,3,*激しさ３キス,Kiss,,2
1,0,*亀頭責め,Piston,,3
1,1,*亀頭責め,Piston,,3
1,2,*亀頭責め,Piston,,3
1,3,*亀頭責め,Piston,,3
1,0,*胸揉み,Piston,,4
1,1,*胸揉み,Piston,,4
1,2,*胸揉み,Piston,,4
1,3,*胸揉み,Piston,,4
1,0,*頭を撫でる,Waiting,,5
1,1,*頭を撫でる,Waiting,,5
1,2,*頭を撫でる,Waiting,,5
1,3,*頭を撫でる,Waiting,,5
2,0,*激しさ１,Piston,,6
2,1,*激しさ１,Piston,,6
2,2,*激しさ２,Piston,,6
2,3,*激しさ３,Piston,,6
2,0,*激しさ１キス,Kiss,,7
2,1,*激しさ１キス,Kiss,,7
2,2,*激しさ２キス,Kiss,,7
2,3,*激しさ３キス,Kiss,,7
2,0,*頭を撫でる,Piston,,8
2,1,*頭を撫でる,Piston,,8
2,2,*頭を撫でる,Piston,,8
2,3,*頭を撫でる,Piston,,8
2,0,*ディープキス,Kiss,,9
2,1,*ディープキス,Kiss,,9
2,2,*ディープキス,Kiss,,9
2,3,*ディープキス,Kiss,,9
3,0,*激しさ１,Piston,,10
3,1,*激しさ１,Piston,,10
3,2,*激しさ２,Piston,,10
3,3,*激しさ３,Piston,,10
3,0,*激しさ１キス,Kiss,,11
3,1,*激しさ１キス,Kiss,,11
3,2,*激しさ２キス,Kiss,,11
3,3,*激しさ３キス,Kiss,,11
3,0,*頭を撫でる,Piston,,12
3,1,*頭を撫でる,Piston,,12
3,2,*頭を撫でる,Piston,,12
3,3,*頭を撫でる,Piston,,12
3,0,*ディープキス,Kiss,,13
3,1,*ディープキス,Kiss,,13
3,2,*ディープキス,Kiss,,13
3,3,*ディープキス,Kiss,,13
4,0,*激しさ１,Piston,,14
4,1,*激しさ１,Piston,,14
4,2,*激しさ２,Piston,,14
4,3,*激しさ３,Piston,,14
4,0,*激しさ１胸揉み,Piston,,15
4,1,*激しさ１胸揉み,Piston,,15
4,2,*激しさ２胸揉み,Piston,,15
4,3,*激しさ３胸揉み,Piston,,15
4,0,*踏み付け,Piston,,16
4,1,*踏み付け,Piston,,16
4,2,*踏み付け,Piston,,16
4,3,*踏み付け,Piston,,16
4,0,*グラインド,Piston,,17
4,1,*グラインド,Piston,,17
4,2,*グラインド,Piston,,17
4,3,*グラインド,Piston,,17
5,0,*激しさ１,Piston,,18
5,1,*激しさ１,Piston,,18
5,2,*激しさ２,Piston,,18
5,3,*激しさ３,Piston,,18
5,0,*激しさ１胸揉み,Piston,,19
5,1,*激しさ１胸揉み,Piston,,19
5,2,*激しさ２胸揉み,Piston,,19
5,3,*激しさ３胸揉み,Piston,,19
5,0,*踏み付け,Piston,,20
5,1,*踏み付け,Piston,,20
5,2,*踏み付け,Piston,,20
5,3,*踏み付け,Piston,,20
5,0,*グラインド,Piston,,21
5,1,*グラインド,Piston,,21
5,2,*グラインド,Piston,,21
5,3,*グラインド,Piston,,21
6,0,*激しさ１,Piston,,22
6,1,*激しさ１,Piston,,22
6,2,*激しさ２,Piston,,22
6,3,*激しさ３,Piston,,22
6,0,*激しさ１キス,Kiss,,23
6,1,*激しさ１キス,Kiss,,23
6,2,*激しさ２キス,Kiss,,23
6,3,*激しさ３キス,Kiss,,23
