SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID
1,0,*激しさ１,Piston,Waiting,1
1,1,*激しさ１,Piston,Waiting,1
1,2,*激しさ２,Piston,Waiting,1
1,3,*激しさ３,Piston,Waiting,1
1,0,*激しさ１見つめ合う,Piston,Waiting,2
1,1,*激しさ１見つめ合う,Piston,Waiting,2
1,2,*激しさ２見つめ合う,Piston,Waiting,2
1,3,*激しさ３見つめ合う,Piston,Waiting,2
2,0,*激しさ１,Piston,Waiting,3
2,1,*激しさ１,Piston,Waiting,3
2,2,*激しさ２,Piston,Waiting,3
2,3,*激しさ３,Piston,Waiting,3
2,0,*奥を責める,Piston,Waiting,4
2,1,*奥を責める,Piston,Waiting,4
2,2,*奥を責める,Piston,Waiting,4
2,3,*奥を責める,Piston,Waiting,4
3,0,*激しさ１,Piston,LickJob,5
3,1,*激しさ１,Piston,LickJob,5
3,2,*激しさ２,Piston,LickJob,5
3,3,*激しさ３,Piston,LickJob,5
4,0,*激しさ１,Piston,Piston,6
4,1,*激しさ１,Piston,Piston,6
4,2,*激しさ２,Piston,Piston,6
4,3,*激しさ３,Piston,Piston,6
4,0,*激しさ１胸揉み,Piston,Piston,7
4,1,*激しさ１胸揉み,Piston,Piston,7
4,2,*激しさ２胸揉み,Piston,Piston,7
4,3,*激しさ３胸揉み,Piston,Piston,7
4,0,*グラインド,Piston,Piston,8
4,1,*グラインド,Piston,Piston,8
4,2,*グラインド,Piston,Piston,8
4,3,*グラインド,Piston,Piston,8
