SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
1,壁尻セックス,sex_kousoku_sex.ks,MF,TRUE,1,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,19100,20370,750,750,84680,FALSE,TRUE,TRUE,1,0,0,
2,壁尻アナルセックス,sex_kousoku_sexA.ks,MF,TRUE,2,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,19110,20380,760,760,84690,FALSE,TRUE,TRUE,1,0,0,
3,拘束台セックス,sex_kousokudai_sex.ks,MF,TRUE,3,54170,54170,54170,54170,54170,54170,54170,39170,39170,39170,39170,39170,39170,54170,54170,39170,54170,54170,70170,70170,54170,54170,100170,TRUE,TRUE,TRUE,2,0,0,
4,拘束台アナルセックス,sex_kousokudai_sexA.ks,MF,TRUE,4,54180,54180,54180,54180,54180,54180,54180,39180,39180,39180,39180,39180,39180,54180,54180,39180,54180,54180,70180,70180,54180,54180,100180,TRUE,TRUE,TRUE,2,0,0,
5,吊るしセックス,sex_turusi_sex.ks,MF,TRUE,5,53310,53310,53310,53310,53310,53310,53310,38310,38310,38310,38310,38310,38310,53310,53310,38310,53310,53310,69310,69310,53310,53310,99310,TRUE,TRUE,TRUE,2,0,0,
6,吊るしアナルセックス,sex_turusi_sexA.ks,MF,TRUE,6,53320,53320,53320,53320,53320,53320,53320,38320,38320,38320,38320,38320,38320,53320,53320,38320,53320,53320,69320,69320,53320,53320,99320,TRUE,TRUE,TRUE,2,0,0,
7,拘束セックス,sex_OM_kousoku_kouhaii.ks,MF,TRUE,7,53270,53270,53270,53270,53270,53270,53270,38270,38270,38270,38270,38270,38270,53270,53270,38270,53270,53270,69270,69270,53270,53270,99270,TRUE,TRUE,TRUE,2,0,0,
8,拘束アナルセックス,sex_OM_kousoku_kouhaiiA.ks,MF,TRUE,8,53280,53280,53280,53280,53280,53280,53280,38280,38280,38280,38280,38280,38280,53280,53280,38280,53280,53280,69280,69280,53280,53280,99280,TRUE,TRUE,TRUE,2,0,0,
9,吊るし正常位,sex_OM_turusi_seijyoui.ks,MF,TRUE,9,53640,53640,53640,53640,53640,53640,53640,38640,38640,38640,38640,38640,38640,53640,53640,38640,53640,53640,69640,69640,53640,53640,99640,TRUE,TRUE,TRUE,2,0,0,
10,吊るしアナル正常位,sex_OM_turusi_seijyouiA.ks,MF,TRUE,10,53650,53650,53650,53650,53650,53650,53650,38650,38650,38650,38650,38650,38650,53650,53650,38650,53650,53650,69650,69650,53650,53650,99650,TRUE,TRUE,TRUE,2,0,0,
