SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
1,甘やかし手コキ,sex_amayakasi_tekoki.ks,MF,TRUE,1,16270,16270,16270,25800,25800,25800,25800,16200,16200,16200,75500,43700,77300,79700,80600,74100,79300,80300,,,82000,82400,,TRUE,TRUE,FALSE,1,0,0,
2,甘やかし対面セックス,sex_amayakasi_taimen_sex.ks,MF,TRUE,2,16280,16280,16280,25810,25810,25810,25810,16210,16210,16210,75510,43710,77310,79710,80610,74110,79310,80310,,,82010,82410,,TRUE,TRUE,FALSE,1,0,0,
3,甘やかし対面アナルセックス,sex_amayakasi_taimen_sexA.ks,MF,TRUE,3,16290,16290,16290,25820,25820,25820,25820,16220,16220,16220,75520,43720,77320,79720,80620,74120,79320,80320,,,82020,82420,,TRUE,TRUE,FALSE,1,0,0,
4,甘やかし挟み込み騎乗位,sex_hasamikomi_kijyoui2.ks,MF,TRUE,4,16300,16300,16300,25830,25830,25830,25830,16230,16230,16230,75530,43730,77330,79730,80630,74130,79330,80330,,,82030,82430,,TRUE,TRUE,FALSE,1,0,0,
5,甘やかし挟み込みアナル騎乗位,sex_hasamikomi_kijyoui2A.ks,MF,TRUE,5,16310,16310,16310,25840,25840,25840,25840,16240,16240,16240,75540,43740,77340,79740,80640,74140,79340,80340,,,82040,82440,,TRUE,TRUE,FALSE,1,0,0,
6,甘やかし椅子対面座位,sex_isutaimenzai.ks,MF,TRUE,6,16320,16320,16320,25850,25850,25850,25850,16250,16250,16250,75550,43750,77350,79750,80650,74150,79350,80350,,,82050,82450,,TRUE,TRUE,FALSE,1,0,0,
7,甘やかし椅子アナル対面座位,sex_isutaimenzaiA.ks,MF,TRUE,7,16330,16330,16330,25860,25860,25860,25860,16260,16260,16260,75560,43760,77360,79760,80660,74160,79360,80360,,,82060,82460,,TRUE,TRUE,FALSE,1,0,0,
101,セックス正常位,sex_OM_seijyoui.ks,MF,TRUE,101,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,,,90,90,,FALSE,TRUE,FALSE,2,0,0,
102,だいしゅきホールドセックス正常位,sex_OM_seijyoui.ks,MF,TRUE,102,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,,,220,220,,FALSE,TRUE,FALSE,2,0,0,
103,セックス見つめ合い対面座位,sex_OM_taimenzai.ks,MF,TRUE,103,45850,45850,45850,45850,45850,45850,45850,30850,30850,30850,30850,30850,30850,45850,45850,30850,45850,45850,,,45850,45850,,FALSE,TRUE,FALSE,2,0,0,
104,セックス騎乗位,sex_OM_taimenkijyoui.ks,MF,TRUE,104,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,,,170,170,,FALSE,TRUE,FALSE,2,0,0,
105,グラインドセックス騎乗位,sex_OM_taimenkijyoui.ks,MF,TRUE,105,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,,,260,260,,FALSE,TRUE,FALSE,2,0,0,
106,セックス開脚側位,sex_sokui3.ks,MF,TRUE,106,45660,45660,45660,45660,45660,45660,45660,30660,30660,30660,30660,30660,30660,45660,45660,30660,45660,45660,,,45660,45660,,FALSE,TRUE,FALSE,2,0,0,
107,寝バック,sex_OM_utubuse_kouhaii.ks,MF,TRUE,107,45550,45550,45550,45550,45550,45550,45550,30550,30550,30550,30550,30550,30550,45550,45550,30550,45550,45550,,,45550,45550,,FALSE,TRUE,FALSE,2,0,0,
108,セックス後背位,sex_OM_kouhaii.ks,MF,TRUE,108,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,,,130,130,,FALSE,TRUE,FALSE,2,0,0,
109,セックス腕持ち後背位,sex_OM_udemoti_kouhaii.ks,MF,TRUE,109,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,,,13580,13580,,FALSE,TRUE,FALSE,2,0,0,
110,セックス背面騎乗位,sex_OM_haimen_kijyoui.ks,MF,TRUE,110,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,,,13600,13600,,FALSE,TRUE,FALSE,2,0,0,
111,腕持ち立ち後背位,sex_udemoti_tati_kouhaii.ks,MF,FALSE,111,46370,46370,46370,46370,46370,46370,46370,31370,31370,31370,31370,31370,31370,46370,46370,31370,46370,46370,,,46370,46370,,FALSE,TRUE,FALSE,2,0,0,
112,セックス開脚背面立位,sex_misetuke_haimenritui.ks,MF,TRUE,112,46470,46470,46470,46470,46470,46470,46470,31470,31470,31470,31470,31470,31470,46470,46470,31470,46470,46470,,,46470,46470,,FALSE,TRUE,FALSE,2,0,0,
113,背面駅弁,sex_OM_haimenekiben.ks,MF,TRUE,113,45350,45350,45350,45350,45350,45350,45350,30350,30350,30350,30350,30350,30350,45350,45350,30350,45350,45350,,,45350,45350,,FALSE,TRUE,FALSE,2,0,0,
114,立位,sex_ritui2.ks,MF,TRUE,114,45820,45820,45820,45820,45820,45820,45820,30820,30820,30820,30820,30820,30820,45820,45820,30820,45820,45820,,,45820,45820,,FALSE,TRUE,FALSE,2,0,0,
115,フェラチオ,sex_OM_fera.ks,MF,TRUE,115,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,,,480,480,,FALSE,TRUE,FALSE,2,0,0,
116,セルフイラマ,sex_self_ir.ks,MF,TRUE,116,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,,,620,620,,FALSE,TRUE,FALSE,2,0,0,
