SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
1,全身密着マッサージ,sex_mp_arai.ks,MF,TRUE,1,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,,630,630,630,,TRUE,TRUE,FALSE,1,0,0,
2,シックスナイン,sex_sixnine.ks,MF,TRUE,2,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,,510,510,510,,TRUE,TRUE,FALSE,1,0,0,
3,足コキ,sex_asikoki.ks,MF,TRUE,3,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,,,1020,1020,,TRUE,TRUE,FALSE,1,0,0,
4,オナホコキ,sex_onahokoki.ks,MF,TRUE,4,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,,,1010,1010,,TRUE,TRUE,FALSE,1,0,0,
5,四つん這いフェラ,sex_yotunbai_fera_vibe.ks,MF,TRUE,5,17130,17130,17130,17130,17130,17130,17130,17130,17130,17130,17130,17130,17130,17130,17130,17130,76640,78640,,,88640,104940,,TRUE,TRUE,FALSE,1,0,0,
6,松葉崩しセックス,sex_OM_M_matuba.ks,MF,TRUE,6,45390,45390,45390,45390,45390,45390,45390,30390,30390,30390,30390,30390,30390,45390,45390,30390,45390,45390,61390,61390,45390,45390,91390,TRUE,TRUE,FALSE,1,0,0,
7,挟み込み騎乗位,sex_hasamikomi_kijyoui2.ks,MF,TRUE,7,45960,45960,45960,45960,45960,45960,45960,30960,30960,30960,30960,30960,30960,45960,45960,30960,45960,45960,61960,61960,45960,45960,91960,TRUE,TRUE,FALSE,1,0,0,
8,密着対面座位,sex_OM_furo_taimenzai.ks,MF,TRUE,8,45410,45410,45410,45410,45410,45410,45410,30410,30410,30410,30410,30410,30410,45410,45410,30410,45410,45410,61410,61410,45410,45410,91410,TRUE,TRUE,FALSE,1,0,0,
9,セックス見つめ合い対面座位,sex_OM_taimenzai.ks,MF,TRUE,9,45850,45850,45850,45850,45850,45850,45850,30850,30850,30850,30850,30850,30850,45850,45850,30850,45850,45850,61850,61850,45850,45850,91850,TRUE,TRUE,FALSE,1,0,0,
10,抱き着きセックス対面座位,sex_amayakasi_taimen_sex.ks,MF,TRUE,10,45940,45940,45940,45940,45940,45940,45940,30940,30940,30940,30940,30940,30940,45940,45940,30940,45940,45940,61940,61940,45940,45940,91940,TRUE,TRUE,FALSE,1,0,0,
11,セックス背面騎乗位,sex_OM_haimen_kijyoui.ks,MF,TRUE,11,45530,45530,45530,45530,45530,45530,45530,30530,30530,30530,30530,30530,30530,45530,45530,30530,45530,45530,61530,61530,45530,45530,91530,TRUE,TRUE,FALSE,1,0,0,
12,セックス騎乗位,sex_OM_taimenkijyoui.ks,MF,TRUE,12,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,,,170,170,170,TRUE,TRUE,FALSE,1,0,0,
13,グラインドセックス騎乗位,sex_OM_taimenkijyoui.ks,MF,TRUE,13,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,,,260,260,85170,TRUE,TRUE,FALSE,1,0,0,
14,セックス手繋ぎ対面騎乗位,sex_tetunagi_kijyoui.ks,MF,TRUE,14,45890,45890,45890,45890,45890,45890,45890,30890,30890,30890,30890,30890,30890,45890,45890,30890,45890,45890,61890,61890,45890,45890,91890,TRUE,TRUE,FALSE,1,0,0,
15,セックス密着騎乗位,sex_mittyaku_kijyoui.ks,MF,TRUE,15,46310,46310,46310,46310,46310,46310,46310,31310,31310,31310,31310,31310,31310,46310,46310,31310,46310,46310,62310,62310,46310,46310,92310,TRUE,TRUE,FALSE,1,0,0,
16,全身舐め奉仕,sex_mp_arai.ks,MF,TRUE,16,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,,610,610,610,,TRUE,TRUE,FALSE,1,0,0,
