SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID
100,0,*待機,NoVoiceSmile,,1
100,1,*待機,NoVoiceSmile,,1
100,2,*待機,NoVoiceSmile,,1
100,3,*待機,NoVoiceSmile,,1
101,0,*待機,Waiting,,2
101,1,*待機,Waiting,,2
101,2,*待機,Waiting,,2
101,3,*待機,Waiting,,2
102,0,*激しさ１乳首舐め,LickJob,,3
102,1,*激しさ１乳首舐め,LickJob,,3
102,2,*激しさ２乳首舐め,LickJob,,3
102,3,*激しさ３乳首舐め,LickJob,,3
103,0,*待機,Waiting,,4
103,1,*待機,Waiting,,4
103,2,*待機,Waiting,,4
103,3,*待機,Waiting,,4
104,0,*靴舐め,LickJob,,5
104,1,*靴舐め,LickJob,,5
104,2,*靴舐め,LickJob,,5
104,3,*靴舐め,LickJob,,5
105,0,*待機,Waiting,,6
105,1,*待機,Waiting,,6
105,2,*待機,Waiting,,6
105,3,*待機,Waiting,,6
106,0,*激しさ１,LickJob,,7
106,1,*激しさ１,LickJob,,7
106,2,*激しさ２,LickJob,,7
106,3,*激しさ３,LickJob,,7
107,0,*待機,Waiting,,8
107,1,*待機,Waiting,,8
107,2,*待機,Waiting,,8
107,3,*待機,Waiting,,8
108,0,*激しさ１足舐め,LickJob,,9
108,1,*激しさ１足舐め,LickJob,,9
108,2,*激しさ２足舐め,LickJob,,9
108,3,*激しさ２足舐め,LickJob,,9
109,0,*待機,Waiting,,10
109,1,*待機,Waiting,,10
109,2,*待機,Waiting,,10
109,3,*待機,Waiting,,10
110,0,*待機,Waiting,,11
110,1,*待機,Waiting,,11
110,2,*待機,Waiting,,11
110,3,*待機,Waiting,,11
111,0,*玩具付き待機,Waiting,,12
111,1,*玩具付き待機,Waiting,,12
111,2,*玩具付き待機,Waiting,,12
111,3,*玩具付き待機,Waiting,,12
