SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID
1,0,*抱き付き激しさ１,Piston,,1
1,1,*抱き付き激しさ１,Piston,,1
1,2,*抱き付き激しさ２,Piston,,1
1,3,*抱き付き激しさ３,Piston,,1
1,0,*抱き付き激しさ１キス,Kiss,,2
1,1,*抱き付き激しさ１キス,Kiss,,2
1,2,*抱き付き激しさ２キス,Kiss,,2
1,3,*抱き付き激しさ３キス,Kiss,,2
1,0,*激しさ１胸揉み,Piston,,3
1,1,*激しさ１胸揉み,Piston,,3
1,2,*激しさ２胸揉み,Piston,,3
1,3,*激しさ３胸揉み,Piston,,3
2,0,*激しさ１抱き付き,Piston,,4
2,1,*激しさ１抱き付き,Piston,,4
2,2,*激しさ２抱き付き,Piston,,4
2,3,*激しさ３抱き付き,Piston,,4
2,0,*激しさ１胸揉み,Piston,,5
2,1,*激しさ１胸揉み,Piston,,5
2,2,*激しさ２胸揉み,Piston,,5
2,3,*激しさ３胸揉み,Piston,,5
3,0,*激しさ１,Pain,,6
3,1,*激しさ１,Pain,,6
3,2,*激しさ２,Pain,,6
3,3,*激しさ３,Pain,,6
3,0,*クンニ,Piston,,7
3,1,*クンニ,Piston,,7
3,2,*クンニ,Piston,,7
3,3,*クンニ,Piston,,7
4,0,*激しさ１,Piston,,8
4,1,*激しさ１,Piston,,8
4,2,*激しさ２,Piston,,8
4,3,*激しさ３,Piston,,8
4,0,*激しさ１胸揉み,Piston,,9
4,1,*激しさ１胸揉み,Piston,,9
4,2,*激しさ２胸揉み,Piston,,9
4,3,*激しさ３胸揉み,Piston,,9
4,0,*激しさ１キス,Kiss,,10
4,1,*激しさ１キス,Kiss,,10
4,2,*激しさ２キス,Kiss,,10
4,3,*激しさ３キス,Kiss,,10
4,0,*胸と尻揉み,Piston,,11
4,1,*胸と尻揉み,Piston,,11
4,2,*胸と尻揉み,Piston,,11
4,3,*胸と尻揉み,Piston,,11
5,0,*激しさ１,Piston,,12
5,1,*激しさ１,Piston,,12
5,2,*激しさ２,Piston,,12
5,3,*激しさ３,Piston,,12
5,0,*激しさ１キス,Kiss,,13
5,1,*激しさ１キス,Kiss,,13
5,2,*激しさ２キス,Kiss,,13
5,3,*激しさ３キス,Kiss,,13
5,0,*激しさ１グラインド,Piston,,14
5,1,*激しさ１グラインド,Piston,,14
5,2,*激しさ２グラインド,Piston,,14
5,3,*激しさ３グラインド,Piston,,14
5,0,*激しさ１素股,Piston,,15
5,1,*激しさ１素股,Piston,,15
5,2,*激しさ２素股,Piston,,15
5,3,*激しさ３素股,Piston,,15
6,0,*激しさ１,Piston,,16
6,1,*激しさ１,Piston,,16
6,2,*激しさ２,Piston,,16
6,3,*激しさ３,Piston,,16
6,0,*激しさ１胸揉み,Piston,,17
6,1,*激しさ１胸揉み,Piston,,17
6,2,*激しさ２胸揉み,Piston,,17
6,3,*激しさ３胸揉み,Piston,,17
6,0,*激しさ１尻叩き,Piston,,18
6,1,*激しさ１尻叩き,Piston,,18
6,2,*激しさ１尻叩き,Piston,,18
6,3,*激しさ１尻叩き,Piston,,18
7,0,*激しさ１,Piston,,19
7,1,*激しさ１,Piston,,19
7,2,*激しさ２,Piston,,19
7,3,*激しさ３,Piston,,19
7,0,*激しさ１キス,Kiss,,20
7,1,*激しさ１キス,Kiss,,20
7,2,*激しさ２キス,Kiss,,20
7,3,*激しさ３キス,Kiss,,20
7,0,*激しさ１胸揉み,Piston,,21
7,1,*激しさ１胸揉み,Piston,,21
7,2,*激しさ２胸揉み,Piston,,21
7,3,*激しさ３胸揉み,Piston,,21
7,0,*密着,Piston,,22
7,1,*密着,Piston,,22
7,2,*密着,Piston,,22
7,3,*密着,Piston,,22
7,0,*頭撫で,Waiting,,23
7,1,*頭撫で,Waiting,,23
7,2,*頭撫で,Waiting,,23
7,3,*頭撫で,Waiting,,23
100,0,*激しさ１先端,Fellatio,,100
100,1,*激しさ１先端,Fellatio,,100
100,2,*激しさ２,Fellatio,,100
100,3,*激しさ３,Fellatio,,100
100,0,*激しさ１舐め,LickJob,,101
100,1,*激しさ１舐め,LickJob,,101
100,2,*激しさ１舐め,LickJob,,101
100,3,*激しさ１舐め,LickJob,,101
