SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID
1,0,*激しさ１,Fellatio,,1
1,1,*激しさ１,Fellatio,,1
1,2,*激しさ２,Fellatio,,1
1,3,*激しさ３,Fellatio,,1
2,0,*激しさ１,Fellatio,,2
2,1,*激しさ１,Fellatio,,2
2,2,*激しさ２,Fellatio,,2
2,3,*激しさ３,Fellatio,,2
2,0,*激しさ１胸揉み,Fellatio,,3
2,1,*激しさ１胸揉み,Fellatio,,3
2,2,*激しさ２胸揉み,Fellatio,,3
2,3,*激しさ３胸揉み,Fellatio,,3
3,0,*激しさ１,PistonExcite,,4
3,1,*激しさ１,PistonExcite,,4
3,2,*激しさ２,PistonExcite,,4
3,3,*激しさ３,PistonExcite,,4
3,0,*激しさ１キス,Kiss,,5
3,1,*激しさ１キス,Kiss,,5
3,2,*激しさ２キス,Kiss,,5
3,3,*激しさ３キス,Kiss,,5
4,0,*激しさ１,PistonExcite,,6
4,1,*激しさ１,PistonExcite,,6
4,2,*激しさ２,PistonExcite,,6
4,3,*激しさ３,PistonExcite,,6
5,0,*激しさ１,PistonExcite,,7
5,1,*激しさ１,PistonExcite,,7
5,2,*激しさ２,PistonExcite,,7
5,3,*激しさ３,PistonExcite,,7
5,0,*激しさ１キス,Kiss,,8
5,1,*激しさ１キス,Kiss,,8
5,2,*激しさ２キス,Kiss,,8
5,3,*激しさ３キス,Kiss,,8
6,0,*激しさ１,PistonCry,,9
6,1,*激しさ１,PistonCry,,9
6,2,*激しさ２,PistonCry,,9
6,3,*激しさ３,PistonCry,,9
6,0,*激しさ１キス,Kiss,,10
6,1,*激しさ１キス,Kiss,,10
6,2,*激しさ２キス,Kiss,,10
6,3,*激しさ３キス,Kiss,,10
6,0,*クリトリス,Piston,,11
6,1,*クリトリス,Piston,,11
6,2,*クリトリス,Piston,,11
6,3,*クリトリス,Piston,,11
6,0,*グラインド,Piston,,12
6,1,*グラインド,Piston,,12
6,2,*グラインド,Piston,,12
6,3,*グラインド,Piston,,12
6,0,*フェラ,Fellatio,,13
6,1,*フェラ,Fellatio,,13
6,2,*フェラ,Fellatio,,13
6,3,*フェラ,Fellatio,,13
7,0,*激しさ１,Piston,,14
7,1,*激しさ１,Piston,,14
7,2,*激しさ２,Piston,,14
7,3,*激しさ３,Piston,,14
7,0,*激しさ１胸揉み,Piston,,15
7,1,*激しさ１胸揉み,Piston,,15
7,2,*激しさ２胸揉み,Piston,,15
7,3,*激しさ３胸揉み,Piston,,15
7,0,*喉奥を擦る,Piston,,16
7,1,*喉奥を擦る,Piston,,16
7,2,*喉奥を擦る,Piston,,16
7,3,*喉奥を擦る,Piston,,16
7,0,*裏筋を舐める,Piston,,17
7,1,*裏筋を舐める,Piston,,17
7,2,*裏筋を舐める,Piston,,17
7,3,*裏筋を舐める,Piston,,17
8,0,*激しさ１,Piston,,18
8,1,*激しさ１,Piston,,18
8,2,*激しさ２,Piston,,18
8,3,*激しさ３,Piston,,18
8,0,*激しさ１胸揉み,Piston,,19
8,1,*激しさ１胸揉み,Piston,,19
8,2,*激しさ２胸揉み,Piston,,19
8,3,*激しさ３胸揉み,Piston,,19
8,0,*激しさ１キス,Kiss,,20
8,1,*激しさ１キス,Kiss,,20
8,2,*激しさ２キス,Kiss,,20
8,3,*激しさ３キス,Kiss,,20
9,0,*激しさ１,Fellatio,,21
9,1,*激しさ１,Fellatio,,21
9,2,*激しさ２,Fellatio,,21
9,3,*激しさ３,Fellatio,,21
9,0,*喉奥を責める,Fellatio,,22
9,1,*喉奥を責める,Fellatio,,22
9,2,*喉奥を責める,Fellatio,,22
9,3,*喉奥を責める,Fellatio,,22
9,0,*グラインド,SMSubmission,,23
9,1,*グラインド,SMSubmission,,23
9,2,*グラインド,SMSubmission,,23
9,3,*グラインド,SMSubmission,,23
10,0,*激しさ１,PistonExcite,,24
10,1,*激しさ１,PistonExcite,,24
10,2,*激しさ２,PistonExcite,,24
10,3,*激しさ３,PistonExcite,,24
10,0,*激しさ１キス,Kiss,,25
10,1,*激しさ１キス,Kiss,,25
10,2,*激しさ２キス,Kiss,,25
10,3,*激しさ３キス,Kiss,,25
10,0,*激しさ１胸揉み,Piston,,26
10,1,*激しさ１胸揉み,Piston,,26
10,2,*激しさ１胸揉み,Piston,,26
10,3,*激しさ１胸揉み,Piston,,26
11,0,*激しさ１,Fellatio,,27
11,1,*激しさ１,Fellatio,,27
11,2,*激しさ２,Fellatio,,27
11,3,*激しさ３,Fellatio,,27
12,0,*激しさ１,Piston,,28
12,1,*激しさ１,Piston,,28
12,2,*激しさ２,Piston,,28
12,3,*激しさ３,Piston,,28
12,0,*フェラ,Fellatio,,29
12,1,*フェラ,Fellatio,,29
12,2,*フェラ,Fellatio,,29
12,3,*フェラ,Fellatio,,29
12,0,*グラインド,Piston,,30
12,1,*グラインド,Piston,,30
12,2,*グラインド,Piston,,30
12,3,*グラインド,Piston,,30
13,0,*激しさ１,PistonBitch,,31
13,1,*激しさ１,PistonBitch,,31
13,2,*激しさ２,PistonBitch,,31
13,3,*激しさ３,PistonBitch,,31
13,0,*激しさ１キス,KissBitch,,32
13,1,*激しさ１キス,KissBitch,,32
13,2,*激しさ２キス,KissBitch,,32
13,3,*激しさ３キス,KissBitch,,32
13,0,*激しさ１胸揉み,PistonBitch,,33
13,1,*激しさ１胸揉み,PistonBitch,,33
13,2,*激しさ２胸揉み,PistonBitch,,33
13,3,*激しさ３胸揉み,PistonBitch,,33
100,0,*激しさ１,Piston,Waiting,100
100,1,*激しさ１,Piston,Waiting,100
100,2,*激しさ２,Piston,Waiting,100
100,3,*激しさ３,Piston,Waiting,100
100,0,*激しさ１見つめ合う,Piston,Waiting,101
100,1,*激しさ１見つめ合う,Piston,Waiting,101
100,2,*激しさ２見つめ合う,Piston,Waiting,101
100,3,*激しさ３見つめ合う,Piston,Waiting,101
101,0,*激しさ１,Piston,,102
101,1,*激しさ１,Piston,,102
101,2,*激しさ２,Piston,,102
101,3,*激しさ３,Piston,,102
101,0,*激しさ１胸揉み,Piston,,103
101,1,*激しさ１胸揉み,Piston,,103
101,2,*激しさ２胸揉み,Piston,,103
101,3,*激しさ３胸揉み,Piston,,103
