SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID,,,,
1,0,*激しさ１秘部弄り,Piston,,1,,,,
1,1,*激しさ１秘部弄り,Piston,,1,,,,
1,2,*激しさ２秘部弄り,Piston,,1,,,,
1,3,*激しさ３秘部弄り,Piston,,1,,,,
2,0,*激しさ１,Piston,,2,,,,
2,1,*激しさ１,Piston,,2,,,,
2,2,*激しさ２,Piston,,2,,,,
2,3,*激しさ３,Piston,,2,,,,
2,0,*激しさ１キス,Kiss,,3,,,,
2,1,*激しさ１キス,Kiss,,3,,,,
2,2,*激しさ２キス,Kiss,,3,,,,
2,3,*激しさ３キス,Kiss,,3,,,,
2,0,*激しさ１胸揉み,Piston,,4,,,,
2,1,*激しさ１胸揉み,Piston,,4,,,,
2,2,*激しさ２胸揉み,Piston,,4,,,,
2,3,*激しさ３胸揉み,Piston,,4,,,,
3,0,*激しさ１,Piston,,5,,,,
3,1,*激しさ１,Piston,,5,,,,
3,2,*激しさ２,Piston,,5,,,,
3,3,*激しさ３,Piston,,5,,,,
3,0,*激しさ１キス,Kiss,,6,,,,
3,1,*激しさ１キス,Kiss,,6,,,,
3,2,*激しさ２キス,Kiss,,6,,,,
3,3,*激しさ３キス,Kiss,,6,,,,
3,0,*激しさ１胸揉み,Piston,,7,,,,
3,1,*激しさ１胸揉み,Piston,,7,,,,
3,2,*激しさ２胸揉み,Piston,,7,,,,
3,3,*激しさ３胸揉み,Piston,,7,,,,
4,0,*激しさ１,Piston,,8,,,,
4,1,*激しさ１,Piston,,8,,,,
4,2,*激しさ２,Piston,,8,,,,
4,3,*激しさ３,Piston,,8,,,,
4,0,*激しさ１胸揉み,Piston,,9,,,,
4,1,*激しさ１胸揉み,Piston,,9,,,,
4,2,*激しさ２胸揉み,Piston,,9,,,,
4,3,*激しさ３胸揉み,Piston,,9,,,,
5,0,*激しさ１,Piston,,10,,,,
5,1,*激しさ１,Piston,,10,,,,
5,2,*激しさ２,Piston,,10,,,,
5,3,*激しさ３,Piston,,10,,,,
5,0,*激しさ１胸揉み,Piston,,11,,,,
5,1,*激しさ１胸揉み,Piston,,11,,,,
5,2,*激しさ２胸揉み,Piston,,11,,,,
5,3,*激しさ３胸揉み,Piston,,11,,,,
6,0,*激しさ１,Piston,,12,,,,
6,1,*激しさ１,Piston,,12,,,,
6,2,*激しさ２,Piston,,12,,,,
6,3,*激しさ３,Piston,,12,,,,
6,0,*激しさ１キス,Kiss,,13,,,,
6,1,*激しさ１キス,Kiss,,13,,,,
6,2,*激しさ２キス,Kiss,,13,,,,
6,3,*激しさ３キス,Kiss,,13,,,,
6,0,*激しさ１胸揉み,Piston,,14,,,,
6,1,*激しさ１胸揉み,Piston,,14,,,,
6,2,*激しさ２胸揉み,Piston,,14,,,,
6,3,*激しさ３胸揉み,Piston,,14,,,,
7,0,*激しさ１,Piston,,15,,,,
7,1,*激しさ１,Piston,,15,,,,
7,2,*激しさ２,Piston,,15,,,,
7,3,*激しさ３,Piston,,15,,,,
7,0,*激しさ１キス,Kiss,,16,,,,
7,1,*激しさ１キス,Kiss,,16,,,,
7,2,*激しさ２キス,Kiss,,16,,,,
7,3,*激しさ３キス,Kiss,,16,,,,
7,0,*激しさ１胸揉み,Piston,,17,,,,
7,1,*激しさ１胸揉み,Piston,,17,,,,
7,2,*激しさ２胸揉み,Piston,,17,,,,
7,3,*激しさ３胸揉み,Piston,,17,,,,
8,0,*抱き付き激しさ１,Piston,,18,,,,
8,1,*抱き付き激しさ１,Piston,,18,,,,
8,2,*抱き付き激しさ２,Piston,,18,,,,
8,3,*抱き付き激しさ３,Piston,,18,,,,
8,0,*抱き付き激しさ１キス,Kiss,,19,,,,
8,1,*抱き付き激しさ１キス,Kiss,,19,,,,
8,2,*抱き付き激しさ２キス,Kiss,,19,,,,
8,3,*抱き付き激しさ３キス,Kiss,,19,,,,
8,0,*激しさ１胸揉み,Piston,,20,,,,
8,1,*激しさ１胸揉み,Piston,,20,,,,
8,2,*激しさ２胸揉み,Piston,,20,,,,
8,3,*激しさ３胸揉み,Piston,,20,,,,
9,0,*抱き付き激しさ１,Piston,,21,,,,
9,1,*抱き付き激しさ１,Piston,,21,,,,
9,2,*抱き付き激しさ２,Piston,,21,,,,
9,3,*抱き付き激しさ３,Piston,,21,,,,
9,0,*抱き付き激しさ１キス,Kiss,,22,,,,
9,1,*抱き付き激しさ１キス,Kiss,,22,,,,
9,2,*抱き付き激しさ２キス,Kiss,,22,,,,
9,3,*抱き付き激しさ３キス,Kiss,,22,,,,
9,0,*激しさ１胸揉み,Piston,,23,,,,
9,1,*激しさ１胸揉み,Piston,,23,,,,
9,2,*激しさ２胸揉み,Piston,,23,,,,
9,3,*激しさ３胸揉み,Piston,,23,,,,
