SexPosID,ExcitementLevel,LabelName,VoiceType,VoiceType2,LabelGroupID
1,0,*激しさ１,Fellatio,,1
1,1,*激しさ１,Fellatio,,1
1,2,*激しさ２,Fellatio,,1
1,3,*激しさ３,Fellatio,,1
2,0,*激しさ１,PistonExcite,,2
2,1,*激しさ１,PistonExcite,,2
2,2,*激しさ２,PistonExcite,,2
2,3,*激しさ３,PistonExcite,,2
2,0,*激しさ１キス,Kiss,,3
2,1,*激しさ１キス,Kiss,,3
2,2,*激しさ２キス,Kiss,,3
2,3,*激しさ３キス,Kiss,,3
3,0,*激しさ１,PistonExcite,,4
3,1,*激しさ１,PistonExcite,,4
3,2,*激しさ２,PistonExcite,,4
3,3,*激しさ３,PistonExcite,,4
4,0,*激しさ１,PistonExcite,,5
4,1,*激しさ１,PistonExcite,,5
4,2,*激しさ２,PistonExcite,,5
4,3,*激しさ３,PistonExcite,,5
4,0,*激しさ１キス,Kiss,,6
4,1,*激しさ１キス,Kiss,,6
4,2,*激しさ２キス,Kiss,,6
4,3,*激しさ３キス,Kiss,,6
5,0,*激しさ１,Fellatio,,7
5,1,*激しさ１,Fellatio,,7
5,2,*激しさ２,Fellatio,,7
5,3,*激しさ３,Fellatio,,7
5,0,*喉奥を責める,Fellatio,,8
5,1,*喉奥を責める,Fellatio,,8
5,2,*喉奥を責める,Fellatio,,8
5,3,*喉奥を責める,Fellatio,,8
5,0,*グラインド,SMSubmission,,9
5,1,*グラインド,SMSubmission,,9
5,2,*グラインド,SMSubmission,,9
5,3,*グラインド,SMSubmission,,9
6,0,*激しさ１,Fellatio,,10
6,1,*激しさ１,Fellatio,,10
6,2,*激しさ２,Fellatio,,10
6,3,*激しさ３,Fellatio,,10
7,0,*激しさ１,Piston,,11
7,1,*激しさ１,Piston,,11
7,2,*激しさ２,Piston,,11
7,3,*激しさ３,Piston,,11
7,0,*激しさ１胸揉み,Piston,,12
7,1,*激しさ１胸揉み,Piston,,12
7,2,*激しさ２胸揉み,Piston,,12
7,3,*激しさ３胸揉み,Piston,,12
7,0,*激しさ１キス,Kiss,,13
7,1,*激しさ１キス,Kiss,,13
7,2,*激しさ２キス,Kiss,,13
7,3,*激しさ３キス,Kiss,,13
8,0,*激しさ１,Piston,,14
8,1,*激しさ１,Piston,,14
8,2,*激しさ２,Piston,,14
8,3,*激しさ３,Piston,,14
8,0,*フェラ,Fellatio,,15
8,1,*フェラ,Fellatio,,15
8,2,*フェラ,Fellatio,,15
8,3,*フェラ,Fellatio,,15
8,0,*グラインド,Piston,,16
8,1,*グラインド,Piston,,16
8,2,*グラインド,Piston,,16
8,3,*グラインド,Piston,,16
9,0,*激しさ１,PistonMuriHard,,17
9,1,*激しさ１,PistonMuriHard,,17
9,2,*激しさ２,PistonMuriHard,,17
9,3,*激しさ３,PistonMuriHard,,17
9,0,*激しさ１口を塞ぐ,CoverMouthMuriHard,,18
9,1,*激しさ１口を塞ぐ,CoverMouthMuriHard,,18
9,2,*激しさ２口を塞ぐ,CoverMouthMuriHard,,18
9,3,*激しさ３口を塞ぐ,CoverMouthMuriHard,,18
9,0,*激しさ３首を絞める,StrangleMuriHard,,19
9,1,*激しさ３首を絞める,StrangleMuriHard,,19
9,2,*激しさ３首を絞める,StrangleMuriHard,,19
9,3,*激しさ３首を絞める,StrangleMuriHard,,19
100,0,*激しさ１,Houshi,,100
100,1,*激しさ１,Houshi,,100
100,2,*激しさ２,FellatioExcite,,100
100,3,*激しさ３,FellatioExcite,,100
100,0,*男２激しさ１,Houshi,,101
100,1,*男２激しさ１,Houshi,,101
100,2,*男２激しさ２,FellatioExcite,,101
100,3,*男２激しさ３,FellatioExcite,,101
101,0,*激しさ１,Piston,,102
101,1,*激しさ１,Piston,,102
101,2,*激しさ２,Piston,,102
101,3,*激しさ３,Piston,,102
101,0,*秘部広げ,Piston,,103
101,1,*秘部広げ,Piston,,103
101,2,*秘部広げ,Piston,,103
101,3,*秘部広げ,Piston,,103
101,0,*胸揉み,Piston,,104
101,1,*胸揉み,Piston,,104
101,2,*胸揉み,Piston,,104
101,3,*胸揉み,Piston,,104
102,0,*両手コキ,Piston,,105
102,1,*両手コキ,Piston,,105
102,2,*両手コキ,Piston,,105
102,3,*両手コキ,Piston,,105
102,0,*ディープキス,Kiss,,106
102,1,*ディープキス,Kiss,,106
102,2,*ディープキス,Kiss,,106
102,3,*ディープキス,Kiss,,106
103,0,*抱き付き激しさ１,Piston,,107
103,1,*抱き付き激しさ１,Piston,,107
103,2,*抱き付き激しさ２,Piston,,107
103,3,*抱き付き激しさ３,Piston,,107
104,0,*激しさ１,Piston,,108
104,1,*激しさ１,Piston,,108
104,2,*激しさ２,Piston,,108
104,3,*激しさ３,Piston,,108
