Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Muku,Piston,0,H0_00053.ogg,H0_00229.ogg,
Muku,Piston,0,H0_00054.ogg,H0_00230.ogg,
Muku,Piston,0,H0_09210.ogg,H0_00229.ogg,
Muku,Piston,0,H0_09211.ogg,H0_00230.ogg,
Muku,Piston,0,H0_adult_61041.ogg,H0_adult_61257.ogg,
Muku,Piston,0,H0_adult_61042.ogg,H0_adult_61258.ogg,
Muku,Piston,1,H0_00055.ogg,H0_00231.ogg,
Muku,Piston,1,H0_00056.ogg,H0_00232.ogg,
Muku,Piston,1,H0_09212.ogg,H0_00231.ogg,
Muku,Piston,1,H0_09213.ogg,H0_00232.ogg,
Muku,Piston,1,H0_adult_61043.ogg,H0_adult_61259.ogg,
Muku,Piston,1,H0_adult_61044.ogg,H0_adult_61260.ogg,
Muku,Piston,2,H0_00057.ogg,H0_00233.ogg,
Muku,Piston,2,H0_00058.ogg,H0_00234.ogg,
Muku,Piston,2,H0_09214.ogg,H0_00233.ogg,
Muku,Piston,2,H0_09215.ogg,H0_00234.ogg,
Muku,Piston,2,H0_adult_61045.ogg,H0_adult_61261.ogg,
Muku,Piston,2,H0_adult_61046.ogg,H0_adult_61262.ogg,
Muku,Piston,3,H0_00059.ogg,H0_00235.ogg,
Muku,Piston,3,H0_00060.ogg,H0_00236.ogg,
Muku,Piston,3,H0_09216.ogg,H0_00235.ogg,
Muku,Piston,3,H0_09217.ogg,H0_00236.ogg,
Muku,Piston,3,H0_adult_61047.ogg,H0_adult_61263.ogg,
Muku,Piston,3,H0_adult_61048.ogg,H0_adult_61264.ogg,
Muku,Kiss,0,H0_00093.ogg,H0_00093.ogg,
Muku,Kiss,0,H0_00094.ogg,H0_00094.ogg,
Muku,Kiss,0,H0_adult_61089.ogg,H0_adult_61089.ogg,
Muku,Kiss,0,H0_adult_61090.ogg,H0_adult_61090.ogg,
Muku,Kiss,1,H0_00095.ogg,H0_00095.ogg,
Muku,Kiss,1,H0_00096.ogg,H0_00096.ogg,
Muku,Kiss,1,H0_adult_61091.ogg,H0_adult_61091.ogg,
Muku,Kiss,1,H0_adult_61092.ogg,H0_adult_61092.ogg,
Muku,Kiss,2,H0_00097.ogg,H0_00097.ogg,
Muku,Kiss,2,H0_00098.ogg,H0_00098.ogg,
Muku,Kiss,2,H0_adult_61093.ogg,H0_adult_61093.ogg,
Muku,Kiss,2,H0_adult_61094.ogg,H0_adult_61094.ogg,
Muku,Kiss,3,H0_00099.ogg,H0_00099.ogg,
Muku,Kiss,3,H0_00100.ogg,H0_00100.ogg,
Muku,Kiss,3,H0_adult_61095.ogg,H0_adult_61095.ogg,
Muku,Kiss,3,H0_adult_61096.ogg,H0_adult_61096.ogg,
Muku,Pain,0,H0_00077.ogg,H0_00229.ogg,
Muku,Pain,0,H0_00078.ogg,H0_00230.ogg,
Muku,Pain,0,H0_09218.ogg,H0_00229.ogg,
Muku,Pain,0,H0_09219.ogg,H0_00230.ogg,
Muku,Pain,0,H0_adult_61073.ogg,H0_adult_61257.ogg,
Muku,Pain,0,H0_adult_61074.ogg,H0_adult_61258.ogg,
Muku,Pain,1,H0_00079.ogg,H0_00231.ogg,
Muku,Pain,1,H0_00080.ogg,H0_00232.ogg,
Muku,Pain,1,H0_09220.ogg,H0_00231.ogg,
Muku,Pain,1,H0_09221.ogg,H0_00232.ogg,
Muku,Pain,1,H0_adult_61075.ogg,H0_adult_61259.ogg,
Muku,Pain,1,H0_adult_61076.ogg,H0_adult_61260.ogg,
Muku,Pain,2,H0_00081.ogg,H0_00233.ogg,
Muku,Pain,2,H0_00082.ogg,H0_00234.ogg,
Muku,Pain,2,H0_09222.ogg,H0_00233.ogg,
Muku,Pain,2,H0_09223.ogg,H0_00234.ogg,
Muku,Pain,2,H0_adult_61077.ogg,H0_adult_61261.ogg,
Muku,Pain,2,H0_adult_61078.ogg,H0_adult_61262.ogg,
Muku,Pain,3,H0_00083.ogg,H0_00235.ogg,
Muku,Pain,3,H0_00084.ogg,H0_00236.ogg,
Muku,Pain,3,H0_09224.ogg,H0_00235.ogg,
Muku,Pain,3,H0_09225.ogg,H0_00236.ogg,
Muku,Pain,3,H0_adult_61079.ogg,H0_adult_61263.ogg,
Muku,Pain,3,H0_adult_61080.ogg,H0_adult_61264.ogg,
Muku,Fellatio,0,H0_00101.ogg,H0_00101.ogg,
Muku,Fellatio,0,H0_00102.ogg,H0_00102.ogg,
Muku,Fellatio,0,H0_adult_61097.ogg,H0_adult_61097.ogg,
Muku,Fellatio,0,H0_adult_61098.ogg,H0_adult_61098.ogg,
Muku,Fellatio,1,H0_00103.ogg,H0_00103.ogg,
Muku,Fellatio,1,H0_00104.ogg,H0_00104.ogg,
Muku,Fellatio,1,H0_adult_61099.ogg,H0_adult_61099.ogg,
Muku,Fellatio,1,H0_adult_61100.ogg,H0_adult_61100.ogg,
Muku,Fellatio,2,H0_00105.ogg,H0_00105.ogg,
Muku,Fellatio,2,H0_00106.ogg,H0_00106.ogg,
Muku,Fellatio,2,H0_adult_61101.ogg,H0_adult_61101.ogg,
Muku,Fellatio,2,H0_adult_61102.ogg,H0_adult_61102.ogg,
Muku,Fellatio,3,H0_00107.ogg,H0_00107.ogg,
Muku,Fellatio,3,H0_00108.ogg,H0_00108.ogg,
Muku,Fellatio,3,H0_adult_61103.ogg,H0_adult_61103.ogg,
Muku,Fellatio,3,H0_adult_61104.ogg,H0_adult_61104.ogg,
Muku,DeepThroat,0,H0_00189.ogg,H0_00253.ogg,
Muku,DeepThroat,0,H0_00190.ogg,H0_00254.ogg,
Muku,DeepThroat,0,H0_adult_61217.ogg,H0_adult_61281.ogg,
Muku,DeepThroat,0,H0_adult_61218.ogg,H0_adult_61282.ogg,
Muku,DeepThroat,1,H0_00191.ogg,H0_00255.ogg,
Muku,DeepThroat,1,H0_00192.ogg,H0_00256.ogg,
Muku,DeepThroat,1,H0_adult_61219.ogg,H0_adult_61283.ogg,
Muku,DeepThroat,1,H0_adult_61220.ogg,H0_adult_61284.ogg,
Muku,DeepThroat,2,H0_00193.ogg,H0_00257.ogg,
Muku,DeepThroat,2,H0_00194.ogg,H0_00258.ogg,
