Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Sadist,Piston,0,S6_02179.ogg,S6_102978.ogg,
Sadist,Piston,0,S6_02180.ogg,S6_102979.ogg,
Sadist,Piston,0,S6_adult_53633.ogg,S6_adult_53849.ogg,
Sadist,Piston,0,S6_adult_53634.ogg,S6_adult_53850.ogg,
Sadist,Piston,1,S6_02181.ogg,S6_102980.ogg,
Sadist,Piston,1,S6_02182.ogg,S6_102981.ogg,
Sadist,Piston,1,S6_adult_53635.ogg,S6_adult_53851.ogg,
Sadist,Piston,1,S6_adult_53636.ogg,S6_adult_53852.ogg,
Sadist,Piston,2,S6_02183.ogg,S6_102982.ogg,
Sadist,Piston,2,S6_02184.ogg,S6_102983.ogg,
Sadist,Piston,2,S6_adult_53637.ogg,S6_adult_53853.ogg,
Sadist,Piston,2,S6_adult_53638.ogg,S6_adult_53854.ogg,
Sadist,Piston,3,S6_02185.ogg,S6_102984.ogg,
Sadist,Piston,3,S6_02186.ogg,S6_102985.ogg,
Sadist,Piston,3,S6_adult_53639.ogg,S6_adult_53855.ogg,
Sadist,Piston,3,S6_adult_53640.ogg,S6_adult_53856.ogg,
Sadist,Kiss,0,S6_02219.ogg,S6_02219.ogg,
Sadist,Kiss,0,S6_02220.ogg,S6_02220.ogg,
Sadist,Kiss,0,S6_adult_53681.ogg,S6_adult_53681.ogg,
Sadist,Kiss,0,S6_adult_53682.ogg,S6_adult_53682.ogg,
Sadist,Kiss,1,S6_02221.ogg,S6_02221.ogg,
Sadist,Kiss,1,S6_02222.ogg,S6_02222.ogg,
Sadist,Kiss,1,S6_adult_53683.ogg,S6_adult_53683.ogg,
Sadist,Kiss,1,S6_adult_53684.ogg,S6_adult_53684.ogg,
Sadist,Kiss,2,S6_02223.ogg,S6_02223.ogg,
Sadist,Kiss,2,S6_02224.ogg,S6_02224.ogg,
Sadist,Kiss,2,S6_adult_53685.ogg,S6_adult_53685.ogg,
Sadist,Kiss,2,S6_adult_53686.ogg,S6_adult_53686.ogg,
Sadist,Kiss,3,S6_02225.ogg,S6_02225.ogg,
Sadist,Kiss,3,S6_02226.ogg,S6_02226.ogg,
Sadist,Kiss,3,S6_adult_53687.ogg,S6_adult_53687.ogg,
Sadist,Kiss,3,S6_adult_53688.ogg,S6_adult_53688.ogg,
Sadist,Pain,0,S6_02203.ogg,S6_102978.ogg,
Sadist,Pain,0,S6_02204.ogg,S6_102979.ogg,
Sadist,Pain,0,S6_adult_53665.ogg,S6_adult_53849.ogg,
Sadist,Pain,0,S6_adult_53666.ogg,S6_adult_53850.ogg,
Sadist,Pain,1,S6_02205.ogg,S6_102980.ogg,
Sadist,Pain,1,S6_02206.ogg,S6_102981.ogg,
Sadist,Pain,1,S6_adult_53667.ogg,S6_adult_53851.ogg,
Sadist,Pain,1,S6_adult_53668.ogg,S6_adult_53852.ogg,
Sadist,Pain,2,S6_02207.ogg,S6_102982.ogg,
Sadist,Pain,2,S6_02208.ogg,S6_102983.ogg,
Sadist,Pain,2,S6_adult_53669.ogg,S6_adult_53853.ogg,
Sadist,Pain,2,S6_adult_53670.ogg,S6_adult_53854.ogg,
Sadist,Pain,3,S6_02209.ogg,S6_102984.ogg,
Sadist,Pain,3,S6_02210.ogg,S6_102985.ogg,
Sadist,Pain,3,S6_adult_53671.ogg,S6_adult_53855.ogg,
Sadist,Pain,3,S6_adult_53672.ogg,S6_adult_53856.ogg,
Sadist,Fellatio,0,S6_02227.ogg,S6_02227.ogg,
Sadist,Fellatio,0,S6_02228.ogg,S6_02228.ogg,
Sadist,Fellatio,0,S6_adult_53689.ogg,S6_adult_53689.ogg,
Sadist,Fellatio,0,S6_adult_53690.ogg,S6_adult_53690.ogg,
Sadist,Fellatio,1,S6_02229.ogg,S6_02229.ogg,
Sadist,Fellatio,1,S6_02230.ogg,S6_02230.ogg,
Sadist,Fellatio,1,S6_adult_53691.ogg,S6_adult_53691.ogg,
Sadist,Fellatio,1,S6_adult_53692.ogg,S6_adult_53692.ogg,
Sadist,Fellatio,2,S6_02231.ogg,S6_02231.ogg,
Sadist,Fellatio,2,S6_02232.ogg,S6_02232.ogg,
