Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Muku,Insert,0,H0_00261.ogg,H0_00281.ogg,
Muku,Insert,1,H0_00262.ogg,H0_00282.ogg,
Muku,Insert,2,H0_00263.ogg,H0_00283.ogg,
Muku,Insert,3,H0_00264.ogg,H0_00284.ogg,
Muku,InsertMouth,0,H0_00285.ogg,H0_00285.ogg,
Muku,InsertMouth,1,H0_00286.ogg,H0_00286.ogg,
Muku,InsertMouth,2,H0_00287.ogg,H0_00287.ogg,
Muku,InsertMouth,3,H0_00288.ogg,H0_00288.ogg,
Muku,InsertBitch,0,H0_pink_66828.ogg,H0_pink_66828.ogg,
Muku,InsertBitch,1,H0_pink_66829.ogg,H0_pink_66829.ogg,
Muku,InsertBitch,2,H0_pink_66830.ogg,H0_pink_66830.ogg,
Muku,InsertBitch,3,H0_pink_66831.ogg,H0_pink_66831.ogg,
Majime,Insert,0,H1_00433.ogg,H1_00453.ogg,
Majime,Insert,1,H1_00434.ogg,H1_00454.ogg,
Majime,Insert,2,H1_00435.ogg,H1_00455.ogg,
Majime,Insert,3,H1_00436.ogg,H1_00456.ogg,
Majime,InsertMouth,0,H1_00457.ogg,H1_00457.ogg,
Majime,InsertMouth,1,H1_00458.ogg,H1_00458.ogg,
Majime,InsertMouth,2,H1_00459.ogg,H1_00459.ogg,
Majime,InsertMouth,3,H1_00460.ogg,H1_00460.ogg,
Majime,InsertBitch,0,H1_pink_66456.ogg,H1_pink_66456.ogg,
Majime,InsertBitch,1,H1_pink_66457.ogg,H1_pink_66457.ogg,
Majime,InsertBitch,2,H1_pink_66458.ogg,H1_pink_66458.ogg,
Majime,InsertBitch,3,H1_pink_66459.ogg,H1_pink_66459.ogg,
Rindere,Insert,0,H2_00235.ogg,H2_00255.ogg,
Rindere,Insert,1,H2_00236.ogg,H2_00256.ogg,
Rindere,Insert,2,H2_00237.ogg,H2_00257.ogg,
Rindere,Insert,3,H2_00238.ogg,H2_00258.ogg,
Rindere,InsertMouth,0,H2_00259.ogg,H2_00259.ogg,
Rindere,InsertMouth,1,H2_00260.ogg,H2_00260.ogg,
Rindere,InsertMouth,2,H2_00261.ogg,H2_00261.ogg,
Rindere,InsertMouth,3,H2_00262.ogg,H2_00262.ogg,
Rindere,InsertBitch,0,H2_pink_66464.ogg,H2_pink_66464.ogg,
Rindere,InsertBitch,1,H2_pink_66465.ogg,H2_pink_66465.ogg,
Rindere,InsertBitch,2,H2_pink_66466.ogg,H2_pink_66466.ogg,
Rindere,InsertBitch,3,H2_pink_66467.ogg,H2_pink_66467.ogg,
Pure,Insert,0,S2_01390.ogg,S2_104193.ogg,
Pure,Insert,1,S2_01391.ogg,S2_104194.ogg,
Pure,Insert,2,S2_01392.ogg,S2_104195.ogg,
Pure,Insert,3,S2_01393.ogg,S2_104196.ogg,
Pure,InsertMouth,0,S2_01394.ogg,S2_104197.ogg,
Pure,InsertMouth,1,S2_01395.ogg,S2_104198.ogg,
Pure,InsertMouth,2,S2_01396.ogg,S2_104199.ogg,
Pure,InsertMouth,3,S2_01397.ogg,S2_104200.ogg,
Pure,InsertBitch,0,S2_pink_59218.ogg,S2_pink_59218.ogg,
Pure,InsertBitch,1,S2_pink_59219.ogg,S2_pink_59219.ogg,
Pure,InsertBitch,2,S2_pink_59220.ogg,S2_pink_59220.ogg,
Pure,InsertBitch,3,S2_pink_59221.ogg,S2_pink_59221.ogg,
Pride,Insert,0,S0_01866.ogg,S0_103982.ogg,
Pride,Insert,1,S0_01867.ogg,S0_103983.ogg,
Pride,Insert,2,S0_01868.ogg,S0_103984.ogg,
Pride,Insert,3,S0_01869.ogg,S0_103985.ogg,
Pride,InsertMouth,0,S0_01870.ogg,S0_103986.ogg,
Pride,InsertMouth,1,S0_01871.ogg,S0_103987.ogg,
Pride,InsertMouth,2,S0_01872.ogg,S0_103988.ogg,
Pride,InsertMouth,3,S0_01873.ogg,S0_103989.ogg,
Pride,InsertBitch,0,S0_pink_59273.ogg,S0_pink_59273.ogg,
