Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Muku,OrgasmWait,0,H0_00337_vd.ogg,H0_00352_vd.ogg,
Muku,OrgasmWait,0,H0_adult_61309.ogg,H0_adult_61324.ogg,
Muku,OrgasmWait,1,H0_00337_vd.ogg,H0_00352_vd.ogg,
Muku,OrgasmWait,1,H0_adult_61309.ogg,H0_adult_61324.ogg,
Muku,OrgasmWait,2,H0_00338_vd.ogg,H0_00353_vd.ogg,
Muku,OrgasmWait,2,H0_adult_61310.ogg,H0_adult_61325.ogg,
Muku,OrgasmWait,3,H0_00339_vd.ogg,H0_00354_vd.ogg,
Muku,OrgasmWait,3,H0_adult_61311.ogg,H0_adult_61326.ogg,
Muku,OrgasmWaitExcite,0,H0_00340_vd.ogg,H0_00352_vd.ogg,
Muku,OrgasmWaitExcite,0,H0_adult_61312.ogg,H0_adult_61324.ogg,
Muku,OrgasmWaitExcite,1,H0_00340_vd.ogg,H0_00352_vd.ogg,
Muku,OrgasmWaitExcite,1,H0_adult_61312.ogg,H0_adult_61324.ogg,
Muku,OrgasmWaitExcite,2,H0_00341_vd.ogg,H0_00353_vd.ogg,
Muku,OrgasmWaitExcite,2,H0_adult_61313.ogg,H0_adult_61325.ogg,
Muku,OrgasmWaitExcite,3,H0_00342_vd.ogg,H0_00354_vd.ogg,
Muku,OrgasmWaitExcite,3,H0_adult_61314.ogg,H0_adult_61326.ogg,
Muku,OrgasmWaitHoushi,0,H0_00343_vd.ogg,H0_00355_vd.ogg,
Muku,OrgasmWaitHoushi,0,H0_adult_61315.ogg,H0_adult_61327.ogg,
Muku,OrgasmWaitHoushi,1,H0_00343_vd.ogg,H0_00355_vd.ogg,
Muku,OrgasmWaitHoushi,1,H0_adult_61315.ogg,H0_adult_61327.ogg,
Muku,OrgasmWaitHoushi,2,H0_00344_vd.ogg,H0_00356_vd.ogg,
Muku,OrgasmWaitHoushi,2,H0_adult_61316.ogg,H0_adult_61328.ogg,
Muku,OrgasmWaitHoushi,3,H0_00345_vd.ogg,H0_00357_vd.ogg,
Muku,OrgasmWaitHoushi,3,H0_adult_61317.ogg,H0_adult_61329.ogg,
Majime,OrgasmWait,0,H1_00509_vd.ogg,H1_00524_vd.ogg,
Majime,OrgasmWait,0,H1_adult_60819.ogg,H1_adult_60834.ogg,
Majime,OrgasmWait,1,H1_00509_vd.ogg,H1_00524_vd.ogg,
Majime,OrgasmWait,1,H1_adult_60819.ogg,H1_adult_60834.ogg,
Majime,OrgasmWait,2,H1_00510_vd.ogg,H1_00525_vd.ogg,
Majime,OrgasmWait,2,H1_adult_60820.ogg,H1_adult_60835.ogg,
Majime,OrgasmWait,3,H1_00511_vd.ogg,H1_00526_vd.ogg,
Majime,OrgasmWait,3,H1_adult_60821.ogg,H1_adult_60836.ogg,
Majime,OrgasmWaitExcite,0,H1_00512_vd.ogg,H1_00524_vd.ogg,
Majime,OrgasmWaitExcite,0,H1_adult_60822.ogg,H1_adult_60834.ogg,
Majime,OrgasmWaitExcite,1,H1_00512_vd.ogg,H1_00524_vd.ogg,
Majime,OrgasmWaitExcite,1,H1_adult_60822.ogg,H1_adult_60834.ogg,
Majime,OrgasmWaitExcite,2,H1_00513_vd.ogg,H1_00525_vd.ogg,
Majime,OrgasmWaitExcite,2,H1_adult_60823.ogg,H1_adult_60835.ogg,
Majime,OrgasmWaitExcite,3,H1_00514_vd.ogg,H1_00526_vd.ogg,
Majime,OrgasmWaitExcite,3,H1_adult_60824.ogg,H1_adult_60836.ogg,
Majime,OrgasmWaitHoushi,0,H1_00515_vd.ogg,H1_00527_vd.ogg,
Majime,OrgasmWaitHoushi,0,H1_adult_60825.ogg,H1_adult_60837.ogg,
Majime,OrgasmWaitHoushi,1,H1_00515_vd.ogg,H1_00527_vd.ogg,
Majime,OrgasmWaitHoushi,1,H1_adult_60825.ogg,H1_adult_60837.ogg,
Majime,OrgasmWaitHoushi,2,H1_00516_vd.ogg,H1_00528_vd.ogg,
Majime,OrgasmWaitHoushi,2,H1_adult_60826.ogg,H1_adult_60838.ogg,
Majime,OrgasmWaitHoushi,3,H1_00517_vd.ogg,H1_00529_vd.ogg,
Majime,OrgasmWaitHoushi,3,H1_adult_60827.ogg,H1_adult_60839.ogg,
Rindere,OrgasmWait,0,H2_00311_vd.ogg,H2_00326_vd.ogg,
Rindere,OrgasmWait,0,H2_adult_60816.ogg,H2_adult_60831.ogg,
Rindere,OrgasmWait,1,H2_00311_vd.ogg,H2_00326_vd.ogg,
Rindere,OrgasmWait,1,H2_adult_60816.ogg,H2_adult_60831.ogg,
Rindere,OrgasmWait,2,H2_00312_vd.ogg,H2_00327_vd.ogg,
Rindere,OrgasmWait,2,H2_adult_60817.ogg,H2_adult_60832.ogg,
Rindere,OrgasmWait,3,H2_00313_vd.ogg,H2_00328_vd.ogg,
Rindere,OrgasmWait,3,H2_adult_60818.ogg,H2_adult_60833.ogg,
Rindere,OrgasmWaitExcite,0,H2_00314_vd.ogg,H2_00326_vd.ogg,
Rindere,OrgasmWaitExcite,0,H2_adult_60819.ogg,H2_adult_60831.ogg,
Rindere,OrgasmWaitExcite,1,H2_00314_vd.ogg,H2_00326_vd.ogg,
Rindere,OrgasmWaitExcite,1,H2_adult_60819.ogg,H2_adult_60831.ogg,
Rindere,OrgasmWaitExcite,2,H2_00315_vd.ogg,H2_00327_vd.ogg,
Rindere,OrgasmWaitExcite,2,H2_adult_60820.ogg,H2_adult_60832.ogg,
Rindere,OrgasmWaitExcite,3,H2_00316_vd.ogg,H2_00328_vd.ogg,
Rindere,OrgasmWaitExcite,3,H2_adult_60821.ogg,H2_adult_60833.ogg,
Rindere,OrgasmWaitHoushi,0,H2_00317_vd.ogg,H2_00329_vd.ogg,
Rindere,OrgasmWaitHoushi,0,H2_adult_60822.ogg,H2_adult_60834.ogg,
Rindere,OrgasmWaitHoushi,1,H2_00317_vd.ogg,H2_00329_vd.ogg,
Rindere,OrgasmWaitHoushi,1,H2_adult_60822.ogg,H2_adult_60834.ogg,
Rindere,OrgasmWaitHoushi,2,H2_00318_vd.ogg,H2_00330_vd.ogg,
Rindere,OrgasmWaitHoushi,2,H2_adult_60823.ogg,H2_adult_60835.ogg,
Rindere,OrgasmWaitHoushi,3,H2_00319_vd.ogg,H2_00331_vd.ogg,
Rindere,OrgasmWaitHoushi,3,H2_adult_60824.ogg,H2_adult_60836.ogg,
Pure,OrgasmWait,0,S2_01491.ogg,S2_104209.ogg,
Pure,OrgasmWait,0,S2_adult_54602.ogg,S2_adult_54617.ogg,
Pure,OrgasmWait,1,S2_01491.ogg,S2_104209.ogg,
Pure,OrgasmWait,1,S2_adult_54602.ogg,S2_adult_54617.ogg,
Pure,OrgasmWait,2,S2_01492.ogg,S2_104210.ogg,
Pure,OrgasmWait,2,S2_adult_54603.ogg,S2_adult_54618.ogg,
Pure,OrgasmWait,3,S2_01493.ogg,S2_104211.ogg,
Pure,OrgasmWait,3,S2_adult_54604.ogg,S2_adult_54619.ogg,
Pure,OrgasmWaitExcite,0,S2_01494.ogg,S2_104209.ogg,
Pure,OrgasmWaitExcite,0,S2_adult_54605.ogg,S2_adult_54617.ogg,
Pure,OrgasmWaitExcite,1,S2_01494.ogg,S2_104209.ogg,
Pure,OrgasmWaitExcite,1,S2_adult_54605.ogg,S2_adult_54617.ogg,
Pure,OrgasmWaitExcite,2,S2_01495.ogg,S2_104210.ogg,
Pure,OrgasmWaitExcite,2,S2_adult_54606.ogg,S2_adult_54618.ogg,
Pure,OrgasmWaitExcite,3,S2_01496.ogg,S2_104211.ogg,
Pure,OrgasmWaitExcite,3,S2_adult_54607.ogg,S2_adult_54619.ogg,
Pure,OrgasmWaitHoushi,0,S2_01497.ogg,S2_104212.ogg,
Pure,OrgasmWaitHoushi,0,S2_adult_54608.ogg,S2_adult_54620.ogg,
Pure,OrgasmWaitHoushi,1,S2_01497.ogg,S2_104212.ogg,
Pure,OrgasmWaitHoushi,1,S2_adult_54608.ogg,S2_adult_54620.ogg,
Pure,OrgasmWaitHoushi,2,S2_01498.ogg,S2_104213.ogg,
Pure,OrgasmWaitHoushi,2,S2_adult_54609.ogg,S2_adult_54621.ogg,
Pure,OrgasmWaitHoushi,3,S2_01499.ogg,S2_104214.ogg,
Pure,OrgasmWaitHoushi,3,S2_adult_54610.ogg,S2_adult_54622.ogg,
Pride,OrgasmWait,0,S0_01967.ogg,S0_103998.ogg,
Pride,OrgasmWait,0,S0_adult_54527.ogg,S0_adult_54542.ogg,
Pride,OrgasmWait,1,S0_01967.ogg,S0_103998.ogg,
Pride,OrgasmWait,1,S0_adult_54527.ogg,S0_adult_54542.ogg,
Pride,OrgasmWait,2,S0_01968.ogg,S0_103999.ogg,
Pride,OrgasmWait,2,S0_adult_54528.ogg,S0_adult_54543.ogg,
Pride,OrgasmWait,3,S0_01969.ogg,S0_104000.ogg,
Pride,OrgasmWait,3,S0_adult_54529.ogg,S0_adult_54544.ogg,
Pride,OrgasmWaitExcite,0,S0_01970.ogg,S0_103998.ogg,
Pride,OrgasmWaitExcite,0,S0_adult_54530.ogg,S0_adult_54542.ogg,
Pride,OrgasmWaitExcite,1,S0_01970.ogg,S0_103998.ogg,
Pride,OrgasmWaitExcite,1,S0_adult_54530.ogg,S0_adult_54542.ogg,
Pride,OrgasmWaitExcite,2,S0_01971.ogg,S0_103999.ogg,
Pride,OrgasmWaitExcite,2,S0_adult_54531.ogg,S0_adult_54543.ogg,
Pride,OrgasmWaitExcite,3,S0_01972.ogg,S0_104000.ogg,
Pride,OrgasmWaitExcite,3,S0_adult_54532.ogg,S0_adult_54544.ogg,
Pride,OrgasmWaitHoushi,0,S0_01973.ogg,S0_104001.ogg,
Pride,OrgasmWaitHoushi,0,S0_adult_54533.ogg,S0_adult_54545.ogg,
Pride,OrgasmWaitHoushi,1,S0_01973.ogg,S0_104001.ogg,
Pride,OrgasmWaitHoushi,1,S0_adult_54533.ogg,S0_adult_54545.ogg,
Pride,OrgasmWaitHoushi,2,S0_01974.ogg,S0_104002.ogg,
Pride,OrgasmWaitHoushi,2,S0_adult_54534.ogg,S0_adult_54496.ogg,
Pride,OrgasmWaitHoushi,3,S0_01975.ogg,S0_104003.ogg,
Pride,OrgasmWaitHoushi,3,S0_adult_54535.ogg,S0_adult_54547.ogg,
Cool,OrgasmWait,0,S1_03264.ogg,S1_102765.ogg,
Cool,OrgasmWait,0,S1_adult_53771.ogg,S1_adult_53786.ogg,
Cool,OrgasmWait,1,S1_03264.ogg,S1_102765.ogg,
Cool,OrgasmWait,1,S1_adult_53771.ogg,S1_adult_53786.ogg,
Cool,OrgasmWait,2,S1_03265.ogg,S1_102766.ogg,
Cool,OrgasmWait,2,S1_adult_53772.ogg,S1_adult_53787.ogg,
Cool,OrgasmWait,3,S1_03266.ogg,S1_102767.ogg,
Cool,OrgasmWait,3,S1_adult_53773.ogg,S1_adult_53788.ogg,
Cool,OrgasmWaitExcite,0,S1_03267.ogg,S1_102765.ogg,
Cool,OrgasmWaitExcite,0,S1_adult_53774.ogg,S1_adult_53786.ogg,
Cool,OrgasmWaitExcite,1,S1_03267.ogg,S1_102765.ogg,
Cool,OrgasmWaitExcite,1,S1_adult_53774.ogg,S1_adult_53786.ogg,
Cool,OrgasmWaitExcite,2,S1_03268.ogg,S1_102766.ogg,
Cool,OrgasmWaitExcite,2,S1_adult_53775.ogg,S1_adult_53787.ogg,
Cool,OrgasmWaitExcite,3,S1_03269.ogg,S1_102767.ogg,
Cool,OrgasmWaitExcite,3,S1_adult_53776.ogg,S1_adult_53788.ogg,
Cool,OrgasmWaitHoushi,0,S1_03270.ogg,S1_102768.ogg,
Cool,OrgasmWaitHoushi,0,S1_adult_53777.ogg,S1_adult_53789.ogg,
Cool,OrgasmWaitHoushi,1,S1_03270.ogg,S1_102768.ogg,
Cool,OrgasmWaitHoushi,1,S1_adult_53777.ogg,S1_adult_53789.ogg,
Cool,OrgasmWaitHoushi,2,S1_03271.ogg,S1_102769.ogg,
Cool,OrgasmWaitHoushi,2,S1_adult_53778.ogg,S1_adult_53790.ogg,
Cool,OrgasmWaitHoushi,3,S1_03272.ogg,S1_102770.ogg,
Cool,OrgasmWaitHoushi,3,S1_adult_53779.ogg,S1_102770.ogg,
Yandere,OrgasmWait,0,S3_02964.ogg,S3_101173.ogg,
Yandere,OrgasmWait,0,S3_adult_54470.ogg,S3_adult_54485.ogg,
Yandere,OrgasmWait,1,S3_02964.ogg,S3_101173.ogg,
Yandere,OrgasmWait,1,S3_adult_54470.ogg,S3_adult_54485.ogg,
Yandere,OrgasmWait,2,S3_02965.ogg,S3_101174.ogg,
Yandere,OrgasmWait,2,S3_adult_54471.ogg,S3_adult_54486.ogg,
Yandere,OrgasmWait,3,S3_02966.ogg,S3_101175.ogg,
Yandere,OrgasmWait,3,S3_adult_54472.ogg,S3_adult_54487.ogg,
