Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Anesan,Piston,0,S4_08127.ogg,S4_102930.ogg,
Anesan,Piston,0,S4_08128.ogg,S4_102931.ogg,
Anesan,Piston,0,S4_adult_54506.ogg,S4_adult_54722.ogg,
Anesan,Piston,0,S4_adult_54507.ogg,S4_adult_54723.ogg,
Anesan,Piston,1,S4_08129.ogg,S4_102932.ogg,
Anesan,Piston,1,S4_08130.ogg,S4_102933.ogg,
Anesan,Piston,1,S4_adult_54508.ogg,S4_adult_54724.ogg,
Anesan,Piston,1,S4_adult_54509.ogg,S4_adult_54725.ogg,
Anesan,Piston,2,S4_08131.ogg,S4_102934.ogg,
Anesan,Piston,2,S4_08132.ogg,S4_102935.ogg,
Anesan,Piston,2,S4_adult_54511.ogg,S4_adult_54726.ogg,
Anesan,Piston,2,S4_adult_54510.ogg,S4_adult_54727.ogg,
Anesan,Piston,3,S4_08133.ogg,S4_102936.ogg,
Anesan,Piston,3,S4_08134.ogg,S4_102937.ogg,
Anesan,Piston,3,S4_adult_54512.ogg,S4_adult_54728.ogg,
Anesan,Piston,3,S4_adult_54513.ogg,S4_adult_54729.ogg,
Anesan,Kiss,0,S4_08167.ogg,S4_08167.ogg,
Anesan,Kiss,0,S4_08168.ogg,S4_08168.ogg,
Anesan,Kiss,0,S4_adult_54554.ogg,S4_adult_54554.ogg,
Anesan,Kiss,0,S4_adult_54555.ogg,S4_adult_54555.ogg,
Anesan,Kiss,1,S4_08169.ogg,S4_08169.ogg,
Anesan,Kiss,1,S4_08170.ogg,S4_08170.ogg,
Anesan,Kiss,1,S4_adult_54556.ogg,S4_adult_54556.ogg,
Anesan,Kiss,1,S4_adult_54557.ogg,S4_adult_54557.ogg,
Anesan,Kiss,2,S4_08171.ogg,S4_08171.ogg,
Anesan,Kiss,2,S4_08172.ogg,S4_08172.ogg,
Anesan,Kiss,2,S4_adult_54558.ogg,S4_adult_54558.ogg,
Anesan,Kiss,2,S4_adult_54559.ogg,S4_adult_54559.ogg,
Anesan,Kiss,3,S4_08173.ogg,S4_08173.ogg,
