Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Childhood,Piston,0,H10_03841.ogg,H10_04057.ogg,
Childhood,Piston,0,H10_03842.ogg,H10_04058.ogg,
Childhood,Piston,0,H10_adult_55529.ogg,H10_adult_55745.ogg,
Childhood,Piston,0,H10_adult_55530.ogg,H10_adult_55746.ogg,
Childhood,Piston,1,H10_03843.ogg,H10_04059.ogg,
Childhood,Piston,1,H10_03844.ogg,H10_04060.ogg,
Childhood,Piston,1,H10_adult_55531.ogg,H10_adult_55747.ogg,
Childhood,Piston,1,H10_adult_55532.ogg,H10_adult_55748.ogg,
Childhood,Piston,2,H10_03845.ogg,H10_04061.ogg,
Childhood,Piston,2,H10_03846.ogg,H10_04062.ogg,
Childhood,Piston,2,H10_adult_55533.ogg,H10_adult_55749.ogg,
Childhood,Piston,2,H10_adult_55534.ogg,H10_adult_55750.ogg,
Childhood,Piston,3,H10_03847.ogg,H10_04063.ogg,
Childhood,Piston,3,H10_03848.ogg,H10_04064.ogg,
Childhood,Piston,3,H10_adult_55535.ogg,H10_adult_55751.ogg,
Childhood,Piston,3,H10_adult_55536.ogg,H10_adult_55752.ogg,
Childhood,Kiss,0,H10_03889.ogg,H10_03889.ogg,
Childhood,Kiss,0,H10_03890.ogg,H10_03890.ogg,
Childhood,Kiss,0,H10_adult_55577.ogg,H10_adult_55577.ogg,
Childhood,Kiss,0,H10_adult_55578.ogg,H10_adult_55578.ogg,
Childhood,Kiss,1,H10_03891.ogg,H10_03891.ogg,
Childhood,Kiss,1,H10_03892.ogg,H10_03892.ogg,
Childhood,Kiss,1,H10_adult_55579.ogg,H10_adult_55579.ogg,
Childhood,Kiss,1,H10_adult_55580.ogg,H10_adult_55580.ogg,
Childhood,Kiss,2,H10_03893.ogg,H10_03893.ogg,
Childhood,Kiss,2,H10_03894.ogg,H10_03894.ogg,
Childhood,Kiss,2,H10_adult_55581.ogg,H10_adult_55581.ogg,
Childhood,Kiss,2,H10_adult_55582.ogg,H10_adult_55582.ogg,
Childhood,Kiss,3,H10_03895.ogg,H10_03895.ogg,
Childhood,Kiss,3,H10_03896.ogg,H10_03896.ogg,
Childhood,Kiss,3,H10_adult_55583.ogg,H10_adult_55583.ogg,
Childhood,Kiss,3,H10_adult_55584.ogg,H10_adult_55584.ogg,
Childhood,Pain,0,H10_03873.ogg,H10_04057.ogg,
Childhood,Pain,0,H10_03874.ogg,H10_04058.ogg,
Childhood,Pain,0,H10_adult_55561.ogg,H10_adult_55745.ogg,
