Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Cunning,Piston,0,H12_01205.ogg,H12_01205.ogg,
Cunning,Piston,0,H12_01206.ogg,H12_01206.ogg,
Cunning,Piston,0,H12_adult_06460.ogg,H12_adult_06460.ogg,
Cunning,Piston,0,H12_adult_06461.ogg,H12_adult_06461.ogg,
Cunning,Piston,1,H12_01207.ogg,H12_01207.ogg,
Cunning,Piston,1,H12_01208.ogg,H12_01208.ogg,
Cunning,Piston,1,H12_adult_06462.ogg,H12_adult_06462.ogg,
Cunning,Piston,1,H12_adult_06463.ogg,H12_adult_06463.ogg,
Cunning,Piston,2,H12_01209.ogg,H12_01209.ogg,
Cunning,Piston,2,H12_01210.ogg,H12_01210.ogg,
Cunning,Piston,2,H12_adult_06464.ogg,H12_adult_06464.ogg,
Cunning,Piston,2,H12_adult_06465.ogg,H12_adult_06465.ogg,
Cunning,Piston,3,H12_01211.ogg,H12_01211.ogg,
Cunning,Piston,3,H12_01212.ogg,H12_01212.ogg,
Cunning,Piston,3,H12_adult_06466.ogg,H12_adult_06466.ogg,
Cunning,Piston,3,H12_adult_06467.ogg,H12_adult_06467.ogg,
Cunning,Kiss,0,H12_01253.ogg,H12_01253.ogg,
Cunning,Kiss,0,H12_01254.ogg,H12_01254.ogg,
Cunning,Kiss,0,H12_adult_06508.ogg,H12_adult_06508.ogg,
Cunning,Kiss,0,H12_adult_06509.ogg,H12_adult_06509.ogg,
Cunning,Kiss,1,H12_01255.ogg,H12_01255.ogg,
Cunning,Kiss,1,H12_01256.ogg,H12_01256.ogg,
Cunning,Kiss,1,H12_adult_06510.ogg,H12_adult_06510.ogg,
Cunning,Kiss,1,H12_adult_06511.ogg,H12_adult_06511.ogg,
Cunning,Kiss,2,H12_01257.ogg,H12_01257.ogg,
Cunning,Kiss,2,H12_01258.ogg,H12_01258.ogg,
Cunning,Kiss,2,H12_adult_06512.ogg,H12_adult_06512.ogg,
Cunning,Kiss,2,H12_adult_06513.ogg,H12_adult_06513.ogg,
Cunning,Kiss,3,H12_01259.ogg,H12_01259.ogg,
Cunning,Kiss,3,H12_01260.ogg,H12_01260.ogg,
Cunning,Kiss,3,H12_adult_06514.ogg,H12_adult_06514.ogg,
Cunning,Kiss,3,H12_adult_06515.ogg,H12_adult_06515.ogg,
Cunning,Pain,0,H12_01237.ogg,H12_01237.ogg,
Cunning,Pain,0,H12_01238.ogg,H12_01238.ogg,
Cunning,Pain,0,H12_adult_06492.ogg,H12_adult_06492.ogg,
Cunning,Pain,0,H12_adult_06493.ogg,H12_adult_06493.ogg,
Cunning,Pain,1,H12_01239.ogg,H12_01239.ogg,
Cunning,Pain,1,H12_01240.ogg,H12_01240.ogg,
Cunning,Pain,1,H12_adult_06494.ogg,H12_adult_06494.ogg,
Cunning,Pain,1,H12_adult_06495.ogg,H12_adult_06495.ogg,
Cunning,Pain,2,H12_01241.ogg,H12_01241.ogg,
