Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Friendly,Piston,0,V1_00482.ogg,V1_00698.ogg,
Friendly,Piston,0,V1_00483.ogg,V1_00699.ogg,
Friendly,Piston,0,V1_adult_16048.ogg,V1_adult_16264.ogg,
Friendly,Piston,0,V1_adult_16049.ogg,V1_adult_16265.ogg,
Friendly,Piston,1,V1_00484.ogg,V1_00700.ogg,
Friendly,Piston,1,V1_00485.ogg,V1_00701.ogg,
Friendly,Piston,1,V1_adult_16050.ogg,V1_adult_16266.ogg,
Friendly,Piston,1,V1_adult_16051.ogg,V1_adult_16267.ogg,
Friendly,Piston,2,V1_00486.ogg,V1_00702.ogg,
Friendly,Piston,2,V1_00487.ogg,V1_00703.ogg,
Friendly,Piston,2,V1_adult_16052.ogg,V1_adult_16268.ogg,
Friendly,Piston,2,V1_adult_16053.ogg,V1_adult_16269.ogg,
Friendly,Piston,3,V1_00488.ogg,V1_00704.ogg,
Friendly,Piston,3,V1_00489.ogg,V1_00705.ogg,
Friendly,Piston,3,V1_adult_16054.ogg,V1_adult_16270.ogg,
Friendly,Piston,3,V1_adult_16055.ogg,V1_adult_16271.ogg,
Friendly,Kiss,0,V1_00530.ogg,V1_00530.ogg,
Friendly,Kiss,0,V1_00531.ogg,V1_00531.ogg,
Friendly,Kiss,0,V1_adult_16096.ogg,V1_adult_16096.ogg,
Friendly,Kiss,0,V1_adult_16097.ogg,V1_adult_16097.ogg,
Friendly,Kiss,1,V1_00532.ogg,V1_00532.ogg,
Friendly,Kiss,1,V1_00533.ogg,V1_00533.ogg,
Friendly,Kiss,1,V1_adult_16098.ogg,V1_adult_16098.ogg,
Friendly,Kiss,1,V1_adult_16099.ogg,V1_adult_16099.ogg,
Friendly,Kiss,2,V1_00534.ogg,V1_00534.ogg,
Friendly,Kiss,2,V1_00535.ogg,V1_00535.ogg,
Friendly,Kiss,2,V1_adult_16100.ogg,V1_adult_16100.ogg,
Friendly,Kiss,2,V1_adult_16101.ogg,V1_adult_16101.ogg,
Friendly,Kiss,3,V1_00536.ogg,V1_00536.ogg,
Friendly,Kiss,3,V1_00537.ogg,V1_00537.ogg,
Friendly,Kiss,3,V1_adult_16102.ogg,V1_adult_16102.ogg,
Friendly,Kiss,3,V1_adult_16103.ogg,V1_adult_16103.ogg,
Friendly,Pain,0,V1_00514.ogg,V1_00698.ogg,
Friendly,Pain,0,V1_00515.ogg,V1_00699.ogg,
Friendly,Pain,0,V1_adult_16080.ogg,V1_adult_16264.ogg,
Friendly,Pain,0,V1_adult_16081.ogg,V1_adult_16265.ogg,
Friendly,Pain,1,V1_00516.ogg,V1_00700.ogg,
Friendly,Pain,1,V1_00517.ogg,V1_00701.ogg,
Friendly,Pain,1,V1_adult_16082.ogg,V1_adult_16266.ogg,
