Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Genki,Piston,0,S5_04047.ogg,S5_102337.ogg,
Genki,Piston,0,S5_04048.ogg,S5_102338.ogg,
Genki,Piston,0,S5_adult_53628.ogg,S5_adult_53844.ogg,
Genki,Piston,0,S5_adult_53629.ogg,S5_adult_53845.ogg,
Genki,Piston,1,S5_04049.ogg,S5_102339.ogg,
Genki,Piston,1,S5_04050.ogg,S5_102340.ogg,
Genki,Piston,1,S5_adult_53630.ogg,S5_adult_53846.ogg,
Genki,Piston,1,S5_adult_53631.ogg,S5_adult_53847.ogg,
Genki,Piston,2,S5_04051.ogg,S5_102341.ogg,
Genki,Piston,2,S5_04052.ogg,S5_102342.ogg,
Genki,Piston,2,S5_adult_53632.ogg,S5_adult_53848.ogg,
Genki,Piston,2,S5_adult_53633.ogg,S5_adult_53849.ogg,
Genki,Piston,3,S5_04053.ogg,S5_102343.ogg,
Genki,Piston,3,S5_04054.ogg,S5_102344.ogg,
Genki,Piston,3,S5_adult_53634.ogg,S5_adult_53850.ogg,
Genki,Piston,3,S5_adult_53635.ogg,S5_adult_53851.ogg,
Genki,Kiss,0,S5_04087.ogg,S5_04087.ogg,
Genki,Kiss,0,S5_04088.ogg,S5_04088.ogg,
Genki,Kiss,0,S5_adult_53676.ogg,S5_adult_53676.ogg,
Genki,Kiss,0,S5_adult_53677.ogg,S5_adult_53677.ogg,
Genki,Kiss,1,S5_04089.ogg,S5_04089.ogg,
Genki,Kiss,1,S5_04090.ogg,S5_04090.ogg,
Genki,Kiss,1,S5_adult_53678.ogg,S5_adult_53678.ogg,
Genki,Kiss,1,S5_adult_53679.ogg,S5_adult_53679.ogg,
Genki,Kiss,2,S5_04091.ogg,S5_04091.ogg,
Genki,Kiss,2,S5_04092.ogg,S5_04092.ogg,
Genki,Kiss,2,S5_adult_53680.ogg,S5_adult_53680.ogg,
Genki,Kiss,2,S5_adult_53681.ogg,S5_adult_53681.ogg,
Genki,Kiss,3,S5_04093.ogg,S5_04093.ogg,
Genki,Kiss,3,S5_04094.ogg,S5_04094.ogg,
Genki,Kiss,3,S5_adult_53682.ogg,S5_adult_53682.ogg,
Genki,Kiss,3,S5_adult_53683.ogg,S5_adult_53683.ogg,
Genki,Pain,0,S5_04071.ogg,S5_102337.ogg,
Genki,Pain,0,S5_04072.ogg,S5_102338.ogg,
Genki,Pain,0,S5_adult_53660.ogg,S5_adult_53844.ogg,
Genki,Pain,0,S5_adult_53661.ogg,S5_adult_53845.ogg,
Genki,Pain,1,S5_04073.ogg,S5_102339.ogg,
Genki,Pain,1,S5_04074.ogg,S5_102340.ogg,
Genki,Pain,1,S5_adult_53662.ogg,S5_adult_53846.ogg,
Genki,Pain,1,S5_adult_53663.ogg,S5_adult_53847.ogg,
Genki,Pain,2,S5_04075.ogg,S5_102341.ogg,
Genki,Pain,2,S5_04076.ogg,S5_102342.ogg,
Genki,Pain,2,S5_adult_53664.ogg,S5_adult_53848.ogg,
Genki,Pain,2,S5_adult_53665.ogg,S5_adult_53849.ogg,
Genki,Pain,3,S5_04077.ogg,S5_102343.ogg,
Genki,Pain,3,S5_04078.ogg,S5_102344.ogg,
Genki,Pain,3,S5_adult_53666.ogg,S5_adult_53850.ogg,
Genki,Pain,3,S5_adult_53667.ogg,S5_adult_53851.ogg,
Genki,Fellatio,0,S5_04095.ogg,S5_04095.ogg,
Genki,Fellatio,0,S5_04096.ogg,S5_04096.ogg,
Genki,Fellatio,0,S5_adult_53684.ogg,S5_adult_53684.ogg,
Genki,Fellatio,0,S5_adult_53685.ogg,S5_adult_53685.ogg,
Genki,Fellatio,1,S5_04097.ogg,S5_04097.ogg,
Genki,Fellatio,1,S5_04098.ogg,S5_04098.ogg,
Genki,Fellatio,1,S5_adult_53686.ogg,S5_adult_53686.ogg,
Genki,Fellatio,1,S5_adult_53687.ogg,S5_adult_53687.ogg,
Genki,Fellatio,2,S5_04099.ogg,S5_04099.ogg,
Genki,Fellatio,2,S5_04100.ogg,S5_04100.ogg,
Genki,Fellatio,2,S5_adult_53688.ogg,S5_adult_53688.ogg,
Genki,Fellatio,2,S5_adult_53689.ogg,S5_adult_53689.ogg,
Genki,Fellatio,3,S5_04101.ogg,S5_04101.ogg,
Genki,Fellatio,3,S5_04102.ogg,S5_04102.ogg,
Genki,Fellatio,3,S5_adult_53690.ogg,S5_adult_53690.ogg,
Genki,Fellatio,3,S5_adult_53691.ogg,S5_adult_53691.ogg,
Genki,DeepThroat,0,S5_04183.ogg,S5_04183.ogg,
Genki,DeepThroat,0,S5_04184.ogg,S5_04184.ogg,
Genki,DeepThroat,0,S5_adult_53804.ogg,S5_adult_53868.ogg,
Genki,DeepThroat,0,S5_adult_53805.ogg,S5_adult_53869.ogg,
Genki,DeepThroat,1,S5_04185.ogg,S5_04185.ogg,
Genki,DeepThroat,1,S5_04186.ogg,S5_04186.ogg,
Genki,DeepThroat,1,S5_adult_53806.ogg,S5_adult_53870.ogg,
Genki,DeepThroat,1,S5_adult_53807.ogg,S5_adult_53871.ogg,
Genki,DeepThroat,2,S5_04187.ogg,S5_04187.ogg,
Genki,DeepThroat,2,S5_04188.ogg,S5_04188.ogg,
Genki,DeepThroat,2,S5_adult_53808.ogg,S5_adult_53872.ogg,
Genki,DeepThroat,2,S5_adult_53809.ogg,S5_adult_53873.ogg,
Genki,DeepThroat,3,S5_04189.ogg,S5_04189.ogg,
Genki,DeepThroat,3,S5_04190.ogg,S5_04190.ogg,
Genki,DeepThroat,3,S5_adult_53810.ogg,S5_adult_53874.ogg,
Genki,DeepThroat,3,S5_adult_53811.ogg,S5_adult_53875.ogg,
Genki,PainFellatio,0,S5_04199.ogg,S5_102361.ogg,
Genki,PainFellatio,0,S5_04200.ogg,S5_102362.ogg,
Genki,PainFellatio,0,S5_adult_53820.ogg,S5_adult_53868.ogg,
Genki,PainFellatio,0,S5_adult_53821.ogg,S5_adult_53869.ogg,
Genki,PainFellatio,1,S5_04201.ogg,S5_102363.ogg,
Genki,PainFellatio,1,S5_04202.ogg,S5_102364.ogg,
Genki,PainFellatio,1,S5_adult_53822.ogg,S5_adult_53870.ogg,
Genki,PainFellatio,1,S5_adult_53823.ogg,S5_adult_53871.ogg,
Genki,PainFellatio,2,S5_04203.ogg,S5_102365.ogg,
Genki,PainFellatio,2,S5_04204.ogg,S5_102366.ogg,
Genki,PainFellatio,2,S5_adult_53824.ogg,S5_adult_53872.ogg,
Genki,PainFellatio,2,S5_adult_53825.ogg,S5_adult_53873.ogg,
Genki,PainFellatio,3,S5_04205.ogg,S5_102367.ogg,
Genki,PainFellatio,3,S5_04206.ogg,S5_102368.ogg,
Genki,PainFellatio,3,S5_adult_53826.ogg,S5_adult_53874.ogg,
Genki,PainFellatio,3,S5_adult_53827.ogg,S5_adult_53875.ogg,
Genki,PistonExcite,0,S5_04047.ogg,S5_102337.ogg,
Genki,PistonExcite,0,S5_04048.ogg,S5_102338.ogg,
Genki,PistonExcite,0,S5_adult_53644.ogg,S5_adult_53844.ogg,
Genki,PistonExcite,0,S5_adult_53645.ogg,S5_adult_53845.ogg,
Genki,PistonExcite,1,S5_04049.ogg,S5_102339.ogg,
Genki,PistonExcite,1,S5_04050.ogg,S5_102340.ogg,
Genki,PistonExcite,1,S5_adult_53646.ogg,S5_adult_53846.ogg,
Genki,PistonExcite,1,S5_adult_53647.ogg,S5_adult_53847.ogg,
Genki,PistonExcite,2,S5_04051.ogg,S5_102341.ogg,
Genki,PistonExcite,2,S5_04052.ogg,S5_102342.ogg,
Genki,PistonExcite,2,S5_adult_53648.ogg,S5_adult_53848.ogg,
Genki,PistonExcite,2,S5_adult_53649.ogg,S5_adult_53849.ogg,
Genki,PistonExcite,3,S5_04053.ogg,S5_102343.ogg,
Genki,PistonExcite,3,S5_04054.ogg,S5_102344.ogg,
Genki,PistonExcite,3,S5_adult_53650.ogg,S5_adult_53850.ogg,
Genki,PistonExcite,3,S5_adult_53651.ogg,S5_adult_53851.ogg,
Genki,Houshi,0,S5_04119.ogg,S5_102353.ogg,
Genki,Houshi,0,S5_04120.ogg,S5_102354.ogg,
Genki,Houshi,0,S5_adult_53764.ogg,S5_adult_53860.ogg,
Genki,Houshi,0,S5_adult_53765.ogg,S5_adult_53861.ogg,
Genki,Houshi,1,S5_04121.ogg,S5_102355.ogg,
Genki,Houshi,1,S5_04122.ogg,S5_102356.ogg,
Genki,Houshi,1,S5_adult_53766.ogg,S5_adult_53862.ogg,
Genki,Houshi,1,S5_adult_53767.ogg,S5_adult_53863.ogg,
Genki,Houshi,2,S5_04123.ogg,S5_102357.ogg,
Genki,Houshi,2,S5_04124.ogg,S5_102358.ogg,
Genki,Houshi,2,S5_adult_53768.ogg,S5_adult_53864.ogg,
Genki,Houshi,2,S5_adult_53769.ogg,S5_adult_53865.ogg,
Genki,Houshi,3,S5_04125.ogg,S5_102359.ogg,
Genki,Houshi,3,S5_04126.ogg,S5_102360.ogg,
Genki,Houshi,3,S5_adult_53770.ogg,S5_adult_53866.ogg,
Genki,Houshi,3,S5_adult_53771.ogg,S5_adult_53867.ogg,
Genki,FellatioExcite,0,S5_04159.ogg,S5_102361.ogg,
Genki,FellatioExcite,0,S5_04160.ogg,S5_102362.ogg,
Genki,FellatioExcite,0,S5_adult_53812.ogg,S5_adult_53868.ogg,
Genki,FellatioExcite,0,S5_adult_53813.ogg,S5_adult_53869.ogg,
Genki,FellatioExcite,1,S5_04161.ogg,S5_102363.ogg,
Genki,FellatioExcite,1,S5_04162.ogg,S5_102364.ogg,
Genki,FellatioExcite,1,S5_adult_53814.ogg,S5_adult_53870.ogg,
Genki,FellatioExcite,1,S5_adult_53815.ogg,S5_adult_53871.ogg,
Genki,FellatioExcite,2,S5_04163.ogg,S5_102365.ogg,
Genki,FellatioExcite,2,S5_04164.ogg,S5_102366.ogg,
Genki,FellatioExcite,2,S5_adult_53816.ogg,S5_adult_53872.ogg,
Genki,FellatioExcite,2,S5_adult_53817.ogg,S5_adult_53873.ogg,
Genki,FellatioExcite,3,S5_04165.ogg,S5_102367.ogg,
Genki,FellatioExcite,3,S5_04166.ogg,S5_102368.ogg,
Genki,FellatioExcite,3,S5_adult_53818.ogg,S5_adult_53874.ogg,
Genki,FellatioExcite,3,S5_adult_53819.ogg,S5_adult_53875.ogg,
Genki,LickJob,0,S5_04175.ogg,S5_04175.ogg,
Genki,LickJob,0,S5_04176.ogg,S5_04176.ogg,
Genki,LickJob,0,S5_adult_53796.ogg,S5_adult_53796.ogg,
Genki,LickJob,0,S5_adult_53797.ogg,S5_adult_53797.ogg,
Genki,LickJob,1,S5_04177.ogg,S5_04177.ogg,
Genki,LickJob,1,S5_04178.ogg,S5_04178.ogg,
Genki,LickJob,1,S5_adult_53798.ogg,S5_adult_53798.ogg,
Genki,LickJob,1,S5_adult_53799.ogg,S5_adult_53799.ogg,
Genki,LickJob,2,S5_04179.ogg,S5_04179.ogg,
Genki,LickJob,2,S5_04180.ogg,S5_04180.ogg,
Genki,LickJob,2,S5_adult_53800.ogg,S5_adult_53800.ogg,
Genki,LickJob,2,S5_adult_53801.ogg,S5_adult_53801.ogg,
Genki,LickJob,3,S5_04181.ogg,S5_04181.ogg,
Genki,LickJob,3,S5_04182.ogg,S5_04182.ogg,
Genki,LickJob,3,S5_adult_53802.ogg,S5_adult_53802.ogg,
Genki,LickJob,3,S5_adult_53803.ogg,S5_adult_53803.ogg,
Genki,PistonCry,0,S5_04055.ogg,S5_102337.ogg,
Genki,PistonCry,0,S5_04056.ogg,S5_102338.ogg,
Genki,PistonCry,0,S5_adult_53636.ogg,S5_adult_53844.ogg,
Genki,PistonCry,0,S5_adult_53637.ogg,S5_adult_53845.ogg,
Genki,PistonCry,1,S5_04057.ogg,S5_102339.ogg,
Genki,PistonCry,1,S5_04058.ogg,S5_102340.ogg,
