Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Gyaru,Piston,0,H13_01036.ogg,H13_01252.ogg,
Gyaru,Piston,0,H13_01037.ogg,H13_01253.ogg,
Gyaru,Piston,0,H13_galsp_06721.ogg,H13_galsp_06937.ogg,
Gyaru,Piston,0,H13_galsp_06722.ogg,H13_galsp_06938.ogg,
Gyaru,Piston,1,H13_01038.ogg,H13_01254.ogg,
Gyaru,Piston,1,H13_01039.ogg,H13_01255.ogg,
Gyaru,Piston,1,H13_galsp_06723.ogg,H13_galsp_06939.ogg,
Gyaru,Piston,1,H13_galsp_06724.ogg,H13_galsp_06940.ogg,
Gyaru,Piston,2,H13_01040.ogg,H13_01256.ogg,
Gyaru,Piston,2,H13_01041.ogg,H13_01257.ogg,
Gyaru,Piston,2,H13_galsp_06725.ogg,H13_galsp_06941.ogg,
Gyaru,Piston,2,H13_galsp_06726.ogg,H13_galsp_06942.ogg,
Gyaru,Piston,3,H13_01042.ogg,H13_01258.ogg,
Gyaru,Piston,3,H13_01043.ogg,H13_01259.ogg,
Gyaru,Piston,3,H13_galsp_06727.ogg,H13_galsp_06943.ogg,
Gyaru,Piston,3,H13_galsp_06728.ogg,H13_galsp_06944.ogg,
Gyaru,Kiss,0,H13_01084.ogg,H13_01084.ogg,
Gyaru,Kiss,0,H13_01085.ogg,H13_01085.ogg,
Gyaru,Kiss,0,H13_galsp_06769.ogg,H13_galsp_06769.ogg,
Gyaru,Kiss,0,H13_galsp_06770.ogg,H13_galsp_06770.ogg,
Gyaru,Kiss,1,H13_01086.ogg,H13_01086.ogg,
Gyaru,Kiss,1,H13_01087.ogg,H13_01087.ogg,
Gyaru,Kiss,1,H13_galsp_06771.ogg,H13_galsp_06771.ogg,
Gyaru,Kiss,1,H13_galsp_06772.ogg,H13_galsp_06772.ogg,
Gyaru,Kiss,2,H13_01088.ogg,H13_01088.ogg,
Gyaru,Kiss,2,H13_01089.ogg,H13_01089.ogg,
Gyaru,Kiss,2,H13_galsp_06773.ogg,H13_galsp_06773.ogg,
Gyaru,Kiss,2,H13_galsp_06774.ogg,H13_galsp_06774.ogg,
Gyaru,Kiss,3,H13_01090.ogg,H13_01090.ogg,
Gyaru,Kiss,3,H13_01091.ogg,H13_01091.ogg,
Gyaru,Kiss,3,H13_galsp_06775.ogg,H13_galsp_06775.ogg,
Gyaru,Kiss,3,H13_galsp_06776.ogg,H13_galsp_06776.ogg,
Gyaru,Pain,0,H13_01068.ogg,H13_01068.ogg,
Gyaru,Pain,0,H13_01069.ogg,H13_01069.ogg,
Gyaru,Pain,0,H13_galsp_06753.ogg,H13_galsp_06753.ogg,
Gyaru,Pain,0,H13_galsp_06754.ogg,H13_galsp_06754.ogg,
Gyaru,Pain,1,H13_01070.ogg,H13_01070.ogg,
Gyaru,Pain,1,H13_01071.ogg,H13_01071.ogg,
Gyaru,Pain,1,H13_galsp_06755.ogg,H13_galsp_06755.ogg,
Gyaru,Pain,1,H13_galsp_06756.ogg,H13_galsp_06756.ogg,
Gyaru,Pain,2,H13_01072.ogg,H13_01072.ogg,
Gyaru,Pain,2,H13_01073.ogg,H13_01073.ogg,
Gyaru,Pain,2,H13_galsp_06757.ogg,H13_galsp_06757.ogg,
Gyaru,Pain,2,H13_galsp_06758.ogg,H13_galsp_06758.ogg,
Gyaru,Pain,3,H13_01074.ogg,H13_01074.ogg,
Gyaru,Pain,3,H13_01075.ogg,H13_01075.ogg,
Gyaru,Pain,3,H13_galsp_06759.ogg,H13_galsp_06759.ogg,
