Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Pure,Piston,0,S2_01150.ogg,S2_104161.ogg,
Pure,Piston,0,S2_01151.ogg,S2_104162.ogg,
Pure,Piston,0,S2_adult_54334.ogg,S2_adult_54550.ogg,
Pure,Piston,0,S2_adult_54335.ogg,S2_adult_54551.ogg,
Pure,Piston,1,S2_01152.ogg,S2_104163.ogg,
Pure,Piston,1,S2_01153.ogg,S2_104164.ogg,
Pure,Piston,1,S2_adult_54336.ogg,S2_adult_54552.ogg,
Pure,Piston,1,S2_adult_54337.ogg,S2_adult_54553.ogg,
Pure,Piston,2,S2_01154.ogg,S2_104165.ogg,
Pure,Piston,2,S2_01155.ogg,S2_104166.ogg,
Pure,Piston,2,S2_adult_54338.ogg,S2_adult_54554.ogg,
Pure,Piston,2,S2_adult_54339.ogg,S2_adult_54555.ogg,
Pure,Piston,3,S2_01156.ogg,S2_104167.ogg,
Pure,Piston,3,S2_01157.ogg,S2_104168.ogg,
Pure,Piston,3,S2_adult_54340.ogg,S2_adult_54556.ogg,
Pure,Piston,3,S2_adult_54341.ogg,S2_adult_54557.ogg,
Pure,Kiss,0,S2_01190.ogg,S2_01190.ogg,
Pure,Kiss,0,S2_01191.ogg,S2_01191.ogg,
Pure,Kiss,0,S2_adult_54382.ogg,S2_adult_54382.ogg,
Pure,Kiss,0,S2_adult_54383.ogg,S2_adult_54383.ogg,
Pure,Kiss,1,S2_01192.ogg,S2_01192.ogg,
Pure,Kiss,1,S2_01193.ogg,S2_01193.ogg,
Pure,Kiss,1,S2_adult_54384.ogg,S2_adult_54384.ogg,
Pure,Kiss,1,S2_adult_54385.ogg,S2_adult_54385.ogg,
Pure,Kiss,2,S2_01194.ogg,S2_01194.ogg,
Pure,Kiss,2,S2_01195.ogg,S2_01195.ogg,
Pure,Kiss,2,S2_adult_54386.ogg,S2_adult_54386.ogg,
Pure,Kiss,2,S2_adult_54387.ogg,S2_adult_54387.ogg,
Pure,Kiss,3,S2_01196.ogg,S2_01196.ogg,
Pure,Kiss,3,S2_01197.ogg,S2_01197.ogg,
Pure,Kiss,3,S2_adult_54388.ogg,S2_adult_54388.ogg,
Pure,Kiss,3,S2_adult_54389.ogg,S2_adult_54389.ogg,
Pure,Pain,0,S2_01174.ogg,S2_104161.ogg,
Pure,Pain,0,S2_01175.ogg,S2_104162.ogg,
Pure,Pain,0,S2_adult_54366.ogg,S2_adult_54550.ogg,
Pure,Pain,0,S2_adult_54367.ogg,S2_adult_54551.ogg,
Pure,Pain,1,S2_01178.ogg,S2_104163.ogg,
Pure,Pain,1,S2_01179.ogg,S2_104164.ogg,
Pure,Pain,1,S2_adult_54370.ogg,S2_adult_54552.ogg,
Pure,Pain,1,S2_adult_54371.ogg,S2_adult_54553.ogg,
Pure,Pain,2,S2_01176.ogg,S2_104165.ogg,
Pure,Pain,2,S2_01177.ogg,S2_104166.ogg,
Pure,Pain,2,S2_adult_54368.ogg,S2_adult_54554.ogg,
Pure,Pain,2,S2_adult_54369.ogg,S2_adult_54555.ogg,
Pure,Pain,3,S2_01180.ogg,S2_104167.ogg,
Pure,Pain,3,S2_01181.ogg,S2_104168.ogg,
Pure,Pain,3,S2_adult_54372.ogg,S2_adult_54556.ogg,
Pure,Pain,3,S2_adult_54373.ogg,S2_adult_54557.ogg,
Pure,Fellatio,0,S2_01198.ogg,S2_01198.ogg,
Pure,Fellatio,0,S2_01199.ogg,S2_01199.ogg,
Pure,Fellatio,0,S2_adult_54390.ogg,S2_adult_54390.ogg,
Pure,Fellatio,0,S2_adult_54391.ogg,S2_adult_54391.ogg,
Pure,Fellatio,1,S2_01200.ogg,S2_01200.ogg,
Pure,Fellatio,1,S2_01201.ogg,S2_01201.ogg,
Pure,Fellatio,1,S2_adult_54392.ogg,S2_adult_54392.ogg,
Pure,Fellatio,1,S2_adult_54393.ogg,S2_adult_54393.ogg,
Pure,Fellatio,2,S2_01202.ogg,S2_01202.ogg,
Pure,Fellatio,2,S2_01203.ogg,S2_01203.ogg,
Pure,Fellatio,2,S2_adult_54394.ogg,S2_adult_54394.ogg,
Pure,Fellatio,2,S2_adult_54395.ogg,S2_adult_54395.ogg,
Pure,Fellatio,3,S2_01204.ogg,S2_01204.ogg,
Pure,Fellatio,3,S2_01205.ogg,S2_01205.ogg,
Pure,Fellatio,3,S2_adult_54396.ogg,S2_adult_54396.ogg,
Pure,Fellatio,3,S2_adult_54397.ogg,S2_adult_54397.ogg,
Pure,DeepThroat,0,S2_01286.ogg,S2_104185.ogg,
Pure,DeepThroat,0,S2_01287.ogg,S2_104186.ogg,
Pure,DeepThroat,0,S2_adult_54510.ogg,S2_adult_54574.ogg,
Pure,DeepThroat,0,S2_adult_54511.ogg,S2_adult_54575.ogg,
Pure,DeepThroat,1,S2_adult_54512.ogg,S2_104187.ogg,
Pure,DeepThroat,1,S2_adult_54513.ogg,S2_104188.ogg,
Pure,DeepThroat,1,S2_01288.ogg,S2_adult_54576.ogg,
Pure,DeepThroat,1,S2_01289.ogg,S2_adult_54577.ogg,
Pure,DeepThroat,2,S2_01290.ogg,S2_104189.ogg,
Pure,DeepThroat,2,S2_01291.ogg,S2_104190.ogg,
Pure,DeepThroat,2,S2_adult_54514.ogg,S2_adult_54578.ogg,
Pure,DeepThroat,2,S2_adult_54515.ogg,S2_adult_54579.ogg,
Pure,DeepThroat,3,S2_01292.ogg,S2_104191.ogg,
Pure,DeepThroat,3,S2_01293.ogg,S2_104192.ogg,
Pure,DeepThroat,3,S2_adult_54516.ogg,S2_adult_54580.ogg,
Pure,DeepThroat,3,S2_adult_54517.ogg,S2_adult_54581.ogg,
Pure,PainFellatio,0,S2_01302.ogg,S2_104185.ogg,
Pure,PainFellatio,0,S2_01303.ogg,S2_104186.ogg,
Pure,PainFellatio,0,S2_adult_54526.ogg,S2_adult_54574.ogg,
Pure,PainFellatio,0,S2_adult_54527.ogg,S2_adult_54575.ogg,
Pure,PainFellatio,1,S2_01304.ogg,S2_104187.ogg,
Pure,PainFellatio,1,S2_01305.ogg,S2_104188.ogg,
Pure,PainFellatio,1,S2_adult_54528.ogg,S2_adult_54576.ogg,
Pure,PainFellatio,1,S2_adult_54529.ogg,S2_adult_54577.ogg,
Pure,PainFellatio,2,S2_01306.ogg,S2_adult_54578.ogg,
Pure,PainFellatio,2,S2_01307.ogg,S2_adult_54579.ogg,
Pure,PainFellatio,2,S2_adult_54530.ogg,S2_104189.ogg,
Pure,PainFellatio,2,S2_adult_54531.ogg,S2_104190.ogg,
Pure,PainFellatio,3,S2_01308.ogg,S2_104191.ogg,
Pure,PainFellatio,3,S2_01309.ogg,S2_104192.ogg,
Pure,PainFellatio,3,S2_adult_54532.ogg,S2_adult_54580.ogg,
Pure,PainFellatio,3,S2_adult_54533.ogg,S2_adult_54581.ogg,
Pure,PistonExcite,0,S2_01166.ogg,S2_104161.ogg,
Pure,PistonExcite,0,S2_01167.ogg,S2_104162.ogg,
Pure,PistonExcite,0,S2_adult_54350.ogg,S2_adult_54550.ogg,
Pure,PistonExcite,0,S2_adult_54351.ogg,S2_adult_54551.ogg,
Pure,PistonExcite,1,S2_01168.ogg,S2_104163.ogg,
Pure,PistonExcite,1,S2_01169.ogg,S2_104164.ogg,
Pure,PistonExcite,1,S2_adult_54352.ogg,S2_adult_54552.ogg,
Pure,PistonExcite,1,S2_adult_54353.ogg,S2_adult_54553.ogg,
Pure,PistonExcite,2,S2_01170.ogg,S2_104165.ogg,
Pure,PistonExcite,2,S2_01171.ogg,S2_104166.ogg,
Pure,PistonExcite,2,S2_adult_54354.ogg,S2_adult_54554.ogg,
Pure,PistonExcite,2,S2_adult_54355.ogg,S2_adult_54555.ogg,
Pure,PistonExcite,3,S2_01172.ogg,S2_104167.ogg,
Pure,PistonExcite,3,S2_01173.ogg,S2_104168.ogg,
Pure,PistonExcite,3,S2_adult_54356.ogg,S2_adult_54556.ogg,
Pure,PistonExcite,3,S2_adult_54357.ogg,S2_adult_54557.ogg,
Pure,Houshi,0,S2_01254.ogg,S2_104177.ogg,
Pure,Houshi,0,S2_01255.ogg,S2_104178.ogg,
Pure,Houshi,0,S2_adult_54470.ogg,S2_adult_54566.ogg,
Pure,Houshi,0,S2_adult_54471.ogg,S2_adult_54567.ogg,
Pure,Houshi,1,S2_01256.ogg,S2_104179.ogg,
Pure,Houshi,1,S2_01257.ogg,S2_104180.ogg,
Pure,Houshi,1,S2_adult_54472.ogg,S2_adult_54568.ogg,
Pure,Houshi,1,S2_adult_54473.ogg,S2_adult_54569.ogg,
Pure,Houshi,2,S2_01258.ogg,S2_104181.ogg,
Pure,Houshi,2,S2_01259.ogg,S2_104182.ogg,
Pure,Houshi,2,S2_adult_54474.ogg,S2_adult_54570.ogg,
Pure,Houshi,2,S2_adult_54475.ogg,S2_adult_54571.ogg,
Pure,Houshi,3,S2_01260.ogg,S2_104183.ogg,
Pure,Houshi,3,S2_01261.ogg,S2_104184.ogg,
Pure,Houshi,3,S2_adult_54476.ogg,S2_adult_54572.ogg,
Pure,Houshi,3,S2_adult_54477.ogg,S2_adult_54573.ogg,
Pure,FellatioExcite,0,S2_01294.ogg,S2_104185.ogg,
Pure,FellatioExcite,0,S2_01295.ogg,S2_104186.ogg,
Pure,FellatioExcite,0,S2_adult_54518.ogg,S2_adult_54574.ogg,
Pure,FellatioExcite,0,S2_adult_54519.ogg,S2_adult_54575.ogg,
Pure,FellatioExcite,1,S2_01296.ogg,S2_104187.ogg,
Pure,FellatioExcite,1,S2_01297.ogg,S2_104188.ogg,
Pure,FellatioExcite,1,S2_adult_54520.ogg,S2_adult_54576.ogg,
Pure,FellatioExcite,1,S2_adult_54521.ogg,S2_adult_54577.ogg,
Pure,FellatioExcite,2,S2_01298.ogg,S2_104189.ogg,
Pure,FellatioExcite,2,S2_01299.ogg,S2_104190.ogg,
Pure,FellatioExcite,2,S2_adult_54522.ogg,S2_adult_54578.ogg,
Pure,FellatioExcite,2,S2_adult_54523.ogg,S2_adult_54579.ogg,
Pure,FellatioExcite,3,S2_01300.ogg,S2_104191.ogg,
Pure,FellatioExcite,3,S2_01301.ogg,S2_104192.ogg,
Pure,FellatioExcite,3,S2_adult_54524.ogg,S2_adult_54580.ogg,
Pure,FellatioExcite,3,S2_adult_54525.ogg,S2_adult_54581.ogg,
Pure,LickJob,0,S2_01278.ogg,S2_01278.ogg,
Pure,LickJob,0,S2_01279.ogg,S2_01279.ogg,
Pure,LickJob,0,S2_adult_54502.ogg,S2_adult_54502.ogg,
Pure,LickJob,0,S2_adult_54503.ogg,S2_adult_54503.ogg,
Pure,LickJob,1,S2_01280.ogg,S2_01280.ogg,
Pure,LickJob,1,S2_01281.ogg,S2_01281.ogg,
Pure,LickJob,1,S2_adult_54504.ogg,S2_adult_54504.ogg,
Pure,LickJob,1,S2_adult_54505.ogg,S2_adult_54505.ogg,
Pure,LickJob,2,S2_01282.ogg,S2_01282.ogg,
Pure,LickJob,2,S2_01283.ogg,S2_01283.ogg,
Pure,LickJob,2,S2_adult_54506.ogg,S2_adult_54506.ogg,
Pure,LickJob,2,S2_adult_54507.ogg,S2_adult_54507.ogg,
Pure,LickJob,3,S2_01284.ogg,S2_01284.ogg,
Pure,LickJob,3,S2_01285.ogg,S2_01285.ogg,
Pure,LickJob,3,S2_adult_54508.ogg,S2_adult_54508.ogg,
Pure,LickJob,3,S2_adult_54509.ogg,S2_adult_54509.ogg,
Pure,PistonCry,0,S2_01158.ogg,S2_104161.ogg,
Pure,PistonCry,0,S2_01159.ogg,S2_104162.ogg,
Pure,PistonCry,0,S2_adult_54342.ogg,S2_adult_54550.ogg,
Pure,PistonCry,0,S2_adult_54343.ogg,S2_adult_54551.ogg,
Pure,PistonCry,1,S2_01160.ogg,S2_104163.ogg,
Pure,PistonCry,1,S2_01161.ogg,S2_104164.ogg,
Pure,PistonCry,1,S2_adult_54344.ogg,S2_adult_54552.ogg,
