Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Secretary,Piston,0,H6_00158.ogg,H6_00374.ogg,
Secretary,Piston,0,H6_00159.ogg,H6_00375.ogg,
Secretary,Piston,0,H6_adult_55951.ogg,H6_adult_56167.ogg,
Secretary,Piston,0,H6_adult_55952.ogg,H6_adult_56168.ogg,
Secretary,Piston,1,H6_00160.ogg,H6_00376.ogg,
Secretary,Piston,1,H6_00161.ogg,H6_00377.ogg,
Secretary,Piston,1,H6_adult_55953.ogg,H6_adult_56169.ogg,
Secretary,Piston,1,H6_adult_55954.ogg,H6_adult_56170.ogg,
Secretary,Piston,2,H6_00162.ogg,H6_00378.ogg,
Secretary,Piston,2,H6_00163.ogg,H6_00379.ogg,
Secretary,Piston,2,H6_adult_55955.ogg,H6_adult_56171.ogg,
Secretary,Piston,2,H6_adult_55956.ogg,H6_adult_56172.ogg,
Secretary,Piston,3,H6_00164.ogg,H6_00380.ogg,
Secretary,Piston,3,H6_00165.ogg,H6_00381.ogg,
Secretary,Piston,3,H6_adult_55957.ogg,H6_adult_56173.ogg,
Secretary,Piston,3,H6_adult_55958.ogg,H6_adult_56174.ogg,
Secretary,Kiss,0,H6_00206.ogg,H6_00206.ogg,
Secretary,Kiss,0,H6_00207.ogg,H6_00207.ogg,
Secretary,Kiss,0,H6_adult_55999.ogg,H6_adult_55999.ogg,
Secretary,Kiss,0,H6_adult_56000.ogg,H6_adult_56000.ogg,
Secretary,Kiss,1,H6_00208.ogg,H6_00208.ogg,
Secretary,Kiss,1,H6_00209.ogg,H6_00209.ogg,
Secretary,Kiss,1,H6_adult_56001.ogg,H6_adult_56001.ogg,
Secretary,Kiss,1,H6_adult_56002.ogg,H6_adult_56002.ogg,
Secretary,Kiss,2,H6_00210.ogg,H6_00210.ogg,
Secretary,Kiss,2,H6_00211.ogg,H6_00211.ogg,
Secretary,Kiss,2,H6_adult_56003.ogg,H6_adult_56003.ogg,
Secretary,Kiss,2,H6_adult_56004.ogg,H6_adult_56004.ogg,
Secretary,Kiss,3,H6_00210.ogg,H6_00210.ogg,
