Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Silent,Piston,0,H3_00518.ogg,H3_00734.ogg,
Silent,Piston,0,H3_00519.ogg,H3_00735.ogg,
Silent,Piston,0,H3_adult_55399.ogg,H3_adult_55615.ogg,
Silent,Piston,0,H3_adult_55400.ogg,H3_adult_55616.ogg,
Silent,Piston,1,H3_00520.ogg,H3_00736.ogg,
Silent,Piston,1,H3_00521.ogg,H3_00737.ogg,
Silent,Piston,1,H3_adult_55401.ogg,H3_adult_55617.ogg,
Silent,Piston,1,H3_adult_55402.ogg,H3_adult_55618.ogg,
Silent,Piston,2,H3_00522.ogg,H3_00738.ogg,
Silent,Piston,2,H3_00523.ogg,H3_00739.ogg,
Silent,Piston,2,H3_adult_55403.ogg,H3_adult_55619.ogg,
Silent,Piston,2,H3_adult_55404.ogg,H3_adult_55620.ogg,
Silent,Piston,3,H3_00524.ogg,H3_00740.ogg,
Silent,Piston,3,H3_00525.ogg,H3_00741.ogg,
Silent,Piston,3,H3_adult_55405.ogg,H3_adult_55621.ogg,
Silent,Piston,3,H3_adult_55406.ogg,H3_adult_55622.ogg,
Silent,Kiss,0,H3_00566.ogg,H3_00566.ogg,
Silent,Kiss,0,H3_00567.ogg,H3_00567.ogg,
Silent,Kiss,0,H3_adult_55447.ogg,H3_adult_55447.ogg,
Silent,Kiss,0,H3_adult_55448.ogg,H3_adult_55448.ogg,
Silent,Kiss,1,H3_00568.ogg,H3_00568.ogg,
Silent,Kiss,1,H3_00569.ogg,H3_00569.ogg,
Silent,Kiss,1,H3_adult_55449.ogg,H3_adult_55449.ogg,
Silent,Kiss,1,H3_adult_55450.ogg,H3_adult_55450.ogg,
Silent,Kiss,2,H3_00570.ogg,H3_00570.ogg,
Silent,Kiss,2,H3_00571.ogg,H3_00571.ogg,
Silent,Kiss,2,H3_adult_55451.ogg,H3_adult_55451.ogg,
Silent,Kiss,2,H3_adult_55452.ogg,H3_adult_55452.ogg,
Silent,Kiss,3,H3_00572.ogg,H3_00572.ogg,
Silent,Kiss,3,H3_00573.ogg,H3_00573.ogg,
Silent,Kiss,3,H3_adult_55453.ogg,H3_adult_55453.ogg,
Silent,Kiss,3,H3_adult_55454.ogg,H3_adult_55454.ogg,
Silent,Pain,0,H3_00550.ogg,H3_00734.ogg,
Silent,Pain,0,H3_00551.ogg,H3_00735.ogg,
Silent,Pain,0,H3_adult_55431.ogg,H3_adult_55615.ogg,
Silent,Pain,0,H3_adult_55432.ogg,H3_adult_55616.ogg,
Silent,Pain,1,H3_00552.ogg,H3_00736.ogg,
Silent,Pain,1,H3_00553.ogg,H3_00737.ogg,
Silent,Pain,1,H3_adult_55433.ogg,H3_adult_55617.ogg,
Silent,Pain,1,H3_adult_55434.ogg,H3_adult_55618.ogg,
Silent,Pain,2,H3_00554.ogg,H3_00738.ogg,
Silent,Pain,2,H3_00555.ogg,H3_00739.ogg,
Silent,Pain,2,H3_adult_55435.ogg,H3_adult_55619.ogg,
Silent,Pain,2,H3_adult_55436.ogg,H3_adult_55620.ogg,
Silent,Pain,3,H3_00556.ogg,H3_00740.ogg,
Silent,Pain,3,H3_00557.ogg,H3_00741.ogg,
Silent,Pain,3,H3_adult_55437.ogg,H3_adult_55621.ogg,
Silent,Pain,3,H3_adult_55438.ogg,H3_adult_55622.ogg,
