Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Sister,Piston,0,H7_02762.ogg,H7_02978.ogg,
Sister,Piston,0,H7_02763.ogg,H7_02979.ogg,
Sister,Piston,0,H7_adult_55859.ogg,H7_adult_56075.ogg,
Sister,Piston,0,H7_adult_55860.ogg,H7_adult_56076.ogg,
Sister,Piston,1,H7_02764.ogg,H7_02980.ogg,
Sister,Piston,1,H7_02765.ogg,H7_02981.ogg,
Sister,Piston,1,H7_adult_55861.ogg,H7_adult_56077.ogg,
Sister,Piston,1,H7_adult_55862.ogg,H7_adult_56078.ogg,
Sister,Piston,2,H7_02766.ogg,H7_02982.ogg,
Sister,Piston,2,H7_02767.ogg,H7_02983.ogg,
Sister,Piston,2,H7_adult_55863.ogg,H7_adult_56079.ogg,
Sister,Piston,2,H7_adult_55864.ogg,H7_adult_56080.ogg,
Sister,Piston,3,H7_02768.ogg,H7_02984.ogg,
Sister,Piston,3,H7_02769.ogg,H7_02985.ogg,
Sister,Piston,3,H7_adult_55865.ogg,H7_adult_56081.ogg,
Sister,Piston,3,H7_adult_55866.ogg,H7_adult_56082.ogg,
Sister,Kiss,0,H7_02810.ogg,H7_02810.ogg,
Sister,Kiss,0,H7_02811.ogg,H7_02811.ogg,
Sister,Kiss,0,H7_adult_55907.ogg,H7_adult_55907.ogg,
Sister,Kiss,0,H7_adult_55908.ogg,H7_adult_55908.ogg,
Sister,Kiss,1,H7_02812.ogg,H7_02812.ogg,
Sister,Kiss,1,H7_02813.ogg,H7_02813.ogg,
Sister,Kiss,1,H7_adult_55909.ogg,H7_adult_55909.ogg,
Sister,Kiss,1,H7_adult_55910.ogg,H7_adult_55910.ogg,
Sister,Kiss,2,H7_02814.ogg,H7_02814.ogg,
Sister,Kiss,2,H7_02815.ogg,H7_02815.ogg,
Sister,Kiss,2,H7_adult_55911.ogg,H7_adult_55911.ogg,
Sister,Kiss,2,H7_adult_55912.ogg,H7_adult_55912.ogg,
Sister,Kiss,3,H7_02816.ogg,H7_02816.ogg,
Sister,Kiss,3,H7_02817.ogg,H7_02817.ogg,
Sister,Kiss,3,H7_adult_55913.ogg,H7_adult_55913.ogg,
Sister,Kiss,3,H7_adult_55914.ogg,H7_adult_55914.ogg,
Sister,Pain,0,H7_02794.ogg,H7_02978.ogg,
Sister,Pain,0,H7_02795.ogg,H7_02979.ogg,
Sister,Pain,0,H7_adult_55891.ogg,H7_adult_56075.ogg,
Sister,Pain,0,H7_adult_55892.ogg,H7_adult_56076.ogg,
Sister,Pain,1,H7_02796.ogg,H7_02980.ogg,
Sister,Pain,1,H7_02797.ogg,H7_02981.ogg,
Sister,Pain,1,H7_adult_55893.ogg,H7_adult_56077.ogg,
Sister,Pain,1,H7_adult_55894.ogg,H7_adult_56078.ogg,
Sister,Pain,2,H7_02798.ogg,H7_02982.ogg,
Sister,Pain,2,H7_02799.ogg,H7_02983.ogg,
